Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
F1,21/08/11,Nancy,Sochaux,1,2,A,0,0,12,8,4,3,18.0,17.0,4,4,2,1,0,1,2.25,3.1,3.4,2.2,3.1,3.4,2.2,3.1,3.1,2.3,3.2,3.2
F1,21/08/11,Paris SG,Valenciennes,2,1,H,1,1,16,10,4,4,10.0,14.0,3,0,0,2,0,0,1.5,4.0,7.0,1.5,3.8,7.25,1.5,3.8,5.7,1.5,4.0,7.0
F1,27/08/11,Auxerre,Ajaccio,4,1,H,1,0,22,4,9,1,5.0,15.0,10,2,1,4,0,0,1.8,3.3,4.75,1.78,3.25,5.0,1.75,3.3,4.4,1.83,3.1,5.0
F1,27/08/11,Evian Thonon Gaillard,Dijon,0,1,A,0,0,14,8,5,4,16.0,18.0,5,4,2,2,0,0,1.91,3.25,4.33,1.88,3.1,4.6,2.0,3.2,3.4,2.0,3.1,4.2
F1,27/08/11,Lorient,Nancy,2,1,H,0,1,20,8,7,2,10.0,17.0,10,1,3,2,0,0,1.91,3.2,4.33,1.91,3.2,4.25,1.85,3.4,3.8,2.0,3.1,4.2
F1,27/08/11,Lyon,Montpellier,2,1,H,0,0,11,18,4,8,14.0,13.0,5,7,4,3,0,1,1.5,4.0,7.0,1.62,3.8,5.75,1.45,3.9,6.5,1.57,3.5,7.0
F1,27/08/11,Nice,Brest,0,0,D,0,0,12,14,3,5,14.0,18.0,7,3,0,3,0,0,2.2,3.1,3.6,2.2,3.0,3.5,2.1,3.1,3.3,2.3,3.0,3.4
F1,27/08/11,Valenciennes,Bordeaux,1,2,A,1,0,11,10,3,5,22.0,17.0,4,4,2,3,0,0,2.6,3.0,2.9,2.65,2.95,3.0,2.6,3.0,2.6,2.7,3.1,2.7
F1,28/08/11,Lille,Marseille,3,2,H,1,0,6,18,5,4,17.0,15.0,5,6,2,4,0,0,2.25,3.2,3.25,2.25,3.1,3.5,2.3,3.2,2.8,2.2,3.2,3.4
F1,28/08/11,Rennes,Caen,3,2,H,3,0,19,16,8,8,18.0,18.0,5,10,1,1,0,0,1.73,3.4,5.25,1.67,3.25,6.0,1.65,3.5,4.6,1.73,3.3,5.5
F1,28/08/11,Sochaux,St Etienne,2,1,H,2,1,12,7,5,1,17.0,16.0,4,5,2,3,0,1,2.2,3.2,3.4,2.2,2.95,3.6,2.2,3.1,3.1,2.3,3.0,3.4
F1,28/08/11,Toulouse,Paris SG,1,3,A,1,0,11,12,2,5,17.0,14.0,5,3,2,0,0,0,3.0,3.0,2.5,2.85,3.0,2.6,2.75,3.1,2.4,2.8,3.0,2.7
F1,10/09/11,Ajaccio,Valenciennes,3,1,H,0,1,15,19,9,6,13.0,16.0,3,7,1,2,0,0,2.5,3.0,3.0,2.5,2.9,3.1,2.3,3.1,2.9,2.5,3.0,3.0
F1,10/09/11,Bordeaux,Evian Thonon Gaillard,0,0,D,0,0,16,7,4,3,19.0,18.0,5,3,2,3,0,0,1.85,3.3,4.5,1.78,3.4,4.75,1.75,3.3,4.4,1.83,3.25,4.75
F1,10/09/11,Caen,Toulouse,0,1,A,0,0,9,17,0,6,15.0,17.0,6,5,1,2,0,0,2.6,3.0,2.9,2.55,2.9,3.0,2.4,3.1,2.8,2.5,3.0,3.0
F1,10/09/11,Dijon,Lyon,1,2,A,1,1,7,18,4,4,11.0,17.0,7,5,1,1,0,0,4.75,3.4,1.8,4.75,3.6,1.78,4.3,3.4,1.75,5.0,3.4,1.75
F1,10/09/11,Marseille,Rennes,0,1,A,0,0,22,7,8,3,8.0,17.0,13,6,2,4,0,0,1.73,3.5,5.0,1.75,3.4,5.5,1.65,3.5,4.6,1.75,3.4,5.0
F1,10/09/11,Sochaux,Lorient,1,1,D,1,0,11,8,2,2,6.0,16.0,1,6,3,3,0,0,2.25,3.2,3.2,2.4,3.0,3.1,2.1,3.15,3.25,2.38,3.25,3.0
F1,10/09/11,St Etienne,Lille,1,3,A,1,0,4,10,0,5,15.0,13.0,3,2,2,4,1,0,3.1,3.1,2.4,3.0,3.25,2.45,2.7,3.1,2.5,3.1,3.1,2.4
F1,11/09/11,Montpellier,Nice,1,0,H,0,0,23,13,4,1,8.0,13.0,2,6,2,2,0,0,1.73,3.5,5.0,1.67,3.4,5.75,1.7,3.4,4.5,1.7,3.5,5.25
F1,11/09/11,Nancy,Auxerre,0,0,D,0,0,15,13,8,4,7.0,16.0,1,6,0,3,0,0,2.3,3.1,3.25,2.35,3.1,3.1,2.3,3.1,2.9,2.38,3.1,3.1
F1,11/09/11,Paris SG,Brest,1,0,H,0,0,12,15,3,1,14.0,20.0,4,6,3,3,0,0,1.4,4.33,8.5,1.4,4.2,8.5,1.4,4.1,7.0,1.44,4.0,8.0
F1,17/09/11,Auxerre,Caen,1,1,D,1,1,10,10,2,6,22.0,15.0,4,6,3,3,0,0,2.0,3.2,4.0,2.0,3.1,4.0,1.9,3.2,3.8,2.05,3.1,4.0
F1,17/09/11,Brest,Montpellier,2,2,D,0,2,12,13,5,7,23.0,26.0,4,2,3,3,1,0,2.63,3.0,2.88,2.55,2.95,2.95,2.6,3.0,2.6,2.7,3.0,2.8
F1,17/09/11,Lille,Sochaux,2,2,D,0,0,14,9,4,4,9.0,16.0,9,3,1,3,1,0,1.44,4.0,8.0,1.45,4.25,8.0,1.45,3.9,6.5,1.44,4.0,8.0
F1,17/09/11,Lorient,St Etienne,3,0,H,1,0,7,15,6,3,11.0,13.0,6,9,1,2,0,0,2.0,3.2,4.0,2.05,3.1,3.9,2.0,3.2,3.4,2.1,3.0,4.0
F1,17/09/11,Nice,Ajaccio,3,0,H,1,0,23,6,6,2,18.0,13.0,6,2,4,2,0,1,2.0,3.1,4.2,1.95,3.1,4.25,2.0,3.15,3.45,2.0,3.0,4.33
F1,17/09/11,Toulouse,Bordeaux,3,2,H,0,2,23,8,8,3,24.0,22.0,6,1,3,1,0,1,2.5,3.0,3.0,2.45,3.0,3.0,2.4,3.1,2.8,2.5,3.0,3.0
F1,17/09/11,Valenciennes,Dijon,4,0,H,0,0,14,8,9,2,21.0,16.0,5,4,3,2,0,1,1.85,3.3,4.5,1.85,3.25,4.5,2.0,3.15,3.45,1.91,3.1,4.5
F1,18/09/11,Evian Thonon Gaillard,Paris SG,2,2,D,2,1,17,15,5,7,25.0,11.0,4,8,4,1,0,0,3.8,3.1,2.1,3.7,3.2,2.05,3.4,3.2,2.0,4.0,3.0,2.1
F1,18/09/11,Rennes,Nancy,1,1,D,1,0,15,10,4,2,10.0,20.0,6,2,3,4,0,0,1.67,3.4,6.0,1.7,3.4,5.25,1.6,3.6,5.0,1.73,3.3,5.5
