Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
I1,19/08/17,Juventus,Cagliari,3,0,H,2,0,17,5,7,2,13,11,4,1,1,0,0,0,1.14,8.0,19.0,1.16,7.5,17.0,1.15,7.0,15.0,1.14,7.5,21.0
I1,19/08/17,Verona,Napoli,1,3,A,0,2,12,22,4,12,7,9,3,6,2,2,0,1,8.0,4.75,1.4,8.0,4.6,1.42,7.3,4.1,1.43,8.0,4.5,1.4
I1,20/08/17,Atalanta,Roma,0,1,A,0,1,14,6,6,1,14,16,4,1,1,2,0,0,3.2,3.3,2.3,3.2,3.4,2.25,3.1,3.3,2.2,3.1,3.4,2.25
I1,20/08/17,Bologna,Torino,1,1,D,1,1,13,9,3,3,18,10,0,8,2,1,0,0,3.1,3.3,2.38,3.2,3.3,2.3,2.75,3.3,2.4,3.1,3.3,2.3
I1,20/08/17,Crotone,Milan,0,3,A,0,3,6,19,2,10,9,14,2,9,1,3,1,0,6.0,4.0,1.57,5.5,4.1,1.6,5.6,3.9,1.55,6.0,3.75,1.6
I1,20/08/17,Inter,Fiorentina,3,0,H,2,0,16,15,6,3,7,13,9,7,0,1,0,0,1.57,4.0,6.0,1.57,4.2,5.75,1.6,3.7,5.4,1.53,4.0,6.5
I1,20/08/17,Lazio,Spal,0,0,D,0,0,23,9,13,2,20,4,9,5,2,2,0,0,1.29,5.5,11.0,1.26,5.75,12.0,1.3,5.0,9.0,1.29,5.5,10.0
I1,20/08/17,Sampdoria,Benevento,2,1,H,1,1,16,18,6,7,10,10,6,7,1,2,0,0,1.67,3.75,5.5,1.67,3.7,5.5,1.65,3.6,5.1,1.62,3.8,5.5
I1,20/08/17,Sassuolo,Genoa,0,0,D,0,0,14,12,3,4,16,28,2,5,2,3,0,0,2.2,3.25,3.5,2.2,3.3,3.4,2.3,3.3,2.9,2.15,3.3,3.4
I1,20/08/17,Udinese,Chievo,1,2,A,1,1,18,10,5,3,11,10,5,4,2,2,0,0,2.1,3.2,3.8,2.1,3.25,3.75,2.2,3.3,3.1,2.1,3.3,3.6
I1,26/08/17,Benevento,Bologna,0,1,A,0,0,15,14,5,4,10,13,6,2,1,3,0,0,2.7,3.2,2.75,2.7,3.1,2.8,2.6,3.2,2.6,2.7,3.1,2.7
I1,26/08/17,Genoa,Juventus,2,4,A,2,2,9,17,3,7,13,8,1,4,4,3,0,0,9.0,4.5,1.4,10.0,4.6,1.36,7.3,4.4,1.4,8.0,4.5,1.4
I1,26/08/17,Roma,Inter,1,3,A,1,0,18,14,3,8,12,8,12,6,1,1,0,0,2.3,3.5,3.0,2.25,3.5,3.1,2.2,3.3,3.1,2.3,3.4,3.0
I1,27/08/17,Chievo,Lazio,1,2,A,1,1,13,13,5,3,8,8,9,6,1,1,0,0,3.5,3.2,2.2,3.6,3.3,2.15,2.9,3.3,2.3,3.4,3.2,2.2
I1,27/08/17,Crotone,Verona,0,0,D,0,0,13,5,4,0,13,11,1,3,1,3,0,0,2.5,3.2,2.88,2.45,3.2,3.0,2.3,3.2,3.0,2.5,3.1,3.0
I1,27/08/17,Fiorentina,Sampdoria,1,2,A,0,2,25,12,10,5,20,11,14,7,3,4,0,0,1.8,3.5,4.5,1.85,3.6,4.33,1.85,3.45,4.0,1.83,3.6,4.2
I1,27/08/17,Milan,Cagliari,2,1,H,1,0,15,14,5,4,20,17,2,6,2,1,0,0,1.22,6.5,13.0,1.22,6.5,13.5,1.2,6.0,12.5,1.22,6.0,13.0
I1,27/08/17,Napoli,Atalanta,3,1,H,0,1,10,14,4,2,15,9,9,6,1,2,0,0,1.4,4.75,8.0,1.42,4.6,7.75,1.3,5.0,9.0,1.4,4.5,8.0
I1,27/08/17,Spal,Udinese,3,2,H,1,0,10,11,4,3,9,14,0,7,3,1,0,0,2.5,3.1,2.9,2.45,3.1,3.1,2.6,3.2,2.6,2.5,3.1,2.9
I1,27/08/17,Torino,Sassuolo,3,0,H,1,0,14,19,5,2,13,16,5,11,1,1,0,0,1.75,3.6,5.0,1.72,3.7,5.0,1.8,3.5,4.2,1.73,3.6,4.8
I1,09/09/17,Juventus,Chievo,3,0,H,1,0,15,15,4,2,10,7,10,6,2,1,0,0,1.17,7.5,17.0,1.17,7.25,17.0,1.2,6.5,15.0,1.17,7.0,17.0
I1,10/09/17,Atalanta,Sassuolo,2,1,H,1,1,9,16,3,3,13,18,3,7,0,1,0,0,1.55,4.0,6.5,1.57,4.0,6.0,1.7,3.7,5.0,1.6,3.75,6.0
I1,10/09/17,Benevento,Torino,0,1,A,0,0,15,16,5,6,13,22,2,10,2,2,0,0,4.33,3.75,1.83,4.5,3.7,1.8,4.5,3.6,1.8,4.2,3.6,1.83
I1,10/09/17,Bologna,Napoli,0,3,A,0,0,5,17,2,7,10,16,5,7,5,1,0,0,10.0,5.0,1.33,9.75,5.0,1.34,8.0,5.3,1.35,9.0,5.0,1.33
I1,10/09/17,Cagliari,Crotone,1,0,H,1,0,13,9,4,2,16,16,6,4,2,1,0,0,1.67,3.75,5.5,1.65,3.8,5.5,1.7,3.7,5.0,1.67,3.8,5.0
