Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,09/08/13,Bayern Munich,M'gladbach,3,1,H,2,1,26,11,9,4,12,11,6,4,1,3,0,0,1.13,8.5,19.0,1.14,8.25,15.0,1.2,5.8,13.0,1.14,6.5,15.0
D1,10/08/13,Augsburg,Dortmund,0,4,A,0,1,11,13,4,9,18,12,5,6,2,0,0,0,7.0,4.33,1.44,7.5,4.6,1.4,6.1,4.0,1.5,7.5,3.75,1.5
D1,10/08/13,Braunschweig,Werder Bremen,0,1,A,0,0,13,12,3,4,10,18,2,7,1,0,0,0,2.7,3.4,2.5,2.7,3.4,2.5,2.7,3.4,2.4,2.75,3.1,2.62
D1,10/08/13,Hannover,Wolfsburg,2,0,H,1,0,20,15,8,4,28,11,7,2,4,0,0,2,2.6,3.4,2.6,2.65,3.4,2.55,2.4,3.3,2.75,2.75,3.0,2.75
D1,10/08/13,Hertha,Ein Frankfurt,6,1,H,2,1,16,10,9,4,19,18,5,4,0,2,0,0,2.2,3.4,3.2,2.4,3.3,2.9,2.2,3.3,3.1,2.4,3.1,3.1
D1,10/08/13,Hoffenheim,Nurnberg,2,2,D,1,0,23,12,8,5,17,17,6,9,1,4,0,0,2.1,3.3,3.5,2.05,3.3,3.6,2.0,3.4,3.5,2.2,3.1,3.5
D1,10/08/13,Leverkusen,Freiburg,3,1,H,1,1,18,8,6,3,11,16,5,2,2,2,0,0,1.44,4.5,6.5,1.45,4.5,6.5,1.4,4.4,7.3,1.5,3.75,7.5
D1,11/08/13,Mainz,Stuttgart,3,2,H,1,1,9,15,7,10,15,13,2,8,2,4,0,0,2.4,3.4,2.8,2.4,3.3,2.9,2.4,3.4,2.7,2.5,3.1,2.9
D1,11/08/13,Schalke 04,Hamburg,3,3,D,2,2,19,16,8,6,15,11,3,7,1,2,0,0,1.44,4.33,7.0,1.44,4.5,6.75,1.6,3.7,5.4,1.5,4.0,7.0
D1,17/08/13,Ein Frankfurt,Bayern Munich,0,1,A,0,1,9,15,3,7,9,17,6,5,1,1,0,0,10.0,5.25,1.29,9.0,6.25,1.26,7.6,4.8,1.35,10.0,5.5,1.29
D1,17/08/13,Freiburg,Mainz,1,2,A,0,0,9,12,3,8,17,7,2,4,0,3,0,0,2.25,3.4,3.1,2.3,3.4,3.0,2.3,3.3,2.9,2.38,3.4,2.88
D1,17/08/13,Hamburg,Hoffenheim,1,5,A,1,1,8,18,4,7,15,22,2,4,2,2,0,0,2.0,3.6,3.5,2.05,3.4,3.5,2.0,3.4,3.5,2.05,3.5,3.4
D1,17/08/13,M'gladbach,Hannover,3,0,H,1,0,17,16,8,4,9,19,1,3,1,4,0,0,1.83,3.5,4.33,1.83,3.6,4.2,1.85,3.45,4.0,1.83,3.6,4.2
D1,17/08/13,Stuttgart,Leverkusen,0,1,A,0,1,17,13,3,3,13,15,10,3,3,2,0,0,3.5,3.25,2.1,3.4,3.5,2.05,3.1,3.3,2.2,3.25,3.4,2.15
D1,17/08/13,Werder Bremen,Augsburg,1,0,H,1,0,5,20,2,4,16,14,3,7,3,4,0,0,1.91,3.5,4.0,1.87,3.5,4.1,1.8,3.5,4.2,1.8,3.6,4.33
D1,17/08/13,Wolfsburg,Schalke 04,4,0,H,0,0,20,6,8,2,18,16,11,3,0,2,0,0,2.88,3.3,2.4,2.8,3.4,2.4,2.55,3.4,2.55,2.88,3.4,2.38
D1,18/08/13,Dortmund,Braunschweig,2,1,H,0,0,24,8,6,3,8,12,4,3,0,1,0,0,1.17,7.5,13.0,1.15,7.5,16.0,1.17,6.5,14.0,1.17,7.0,15.0
D1,18/08/13,Nurnberg,Hertha,2,2,D,1,0,11,12,5,5,16,17,4,5,5,2,0,0,2.3,3.4,3.0,2.35,3.4,2.9,2.3,3.3,2.9,2.38,3.4,2.9
D1,23/08/13,Dortmund,Werder Bremen,1,0,H,0,0,32,7,8,1,14,13,7,2,0,0,0,0,1.2,6.5,13.0,1.2,6.75,12.0,1.22,5.5,12.0,1.22,6.0,12.0
D1,24/08/13,Bayern Munich,Nurnberg,2,0,H,0,0,26,5,9,1,13,8,10,1,3,1,0,0,1.1,9.0,26.0,1.1,9.25,21.0,1.12,8.0,16.0,1.08,10.0,26.0
D1,24/08/13,Hannover,Schalke 04,2,1,H,2,0,14,8,6,2,19,23,7,1,2,0,1,2,2.63,3.4,2.6,2.55,3.5,2.6,2.55,3.4,2.55,2.7,3.75,2.38
D1,24/08/13,Hertha,Hamburg,1,0,H,0,0,16,15,5,7,16,18,6,9,1,4,0,0,1.91,3.6,3.8,1.85,3.7,3.9,1.9,3.45,3.8,1.85,3.75,4.0
D1,24/08/13,Hoffenheim,Freiburg,3,3,D,2,2,13,11,5,6,15,22,2,4,1,3,1,3,1.75,3.75,4.5,1.78,3.6,4.4,1.85,3.5,3.9,1.8,3.75,4.2
D1,24/08/13,Leverkusen,M'gladbach,4,2,H,2,0,19,10,11,3,10,14,7,3,0,1,0,0,1.67,3.8,5.0,1.65,3.9,5.0,1.6,3.9,5.0,1.7,3.8,4.8
D1,24/08/13,Mainz,Wolfsburg,2,0,H,0,0,12,16,4,6,16,15,2,5,3,1,0,1,2.63,3.4,2.6,2.65,3.5,2.5,2.55,3.4,2.55,2.6,3.4,2.62
D1,25/08/13,Augsburg,Stuttgart,2,1,H,2,1,17,9,5,2,19,18,9,7,2,3,0,1,2.3,3.4,3.0,2.35,3.3,2.95,2.4,3.3,2.75,2.3,3.3,3.1
D1,25/08/13,Braunschweig,Ein Frankfurt,0,2,A,0,0,9,20,4,4,12,18,2,8,2,1,0,0,2.7,3.4,2.5,2.7,3.5,2.45,2.65,3.3,2.5,2.8,3.3,2.5
D1,27/08/13,Freiburg,Bayern Munich,1,1,D,0,1,8,17,3,8,17,10,3,6,2,1,0,0,13.0,5.5,1.25,9.25,6.25,1.25,9.0,5.0,1.3,10.0,5.5,1.29
D1,31/08/13,Hamburg,Braunschweig,4,0,H,2,0,26,17,13,5,19,21,7,2,1,4,0,0,1.75,3.75,4.5,1.78,3.7,4.33,1.8,3.5,4.2,1.8,3.6,4.5
D1,31/08/13,Hannover,Mainz,4,1,H,2,1,16,13,5,2,19,10,5,3,3,1,0,0,2.4,3.5,2.75,2.45,3.5,2.7,2.3,3.3,2.9,2.6,3.3,2.7
D1,31/08/13,M'gladbach,Werder Bremen,4,1,H,1,0,20,10,8,2,13,13,1,5,3,0,0,0,1.75,3.75,4.5,1.72,3.75,4.6,1.8,3.5,4.2,1.8,3.75,4.2
D1,31/08/13,Nurnberg,Augsburg,0,1,A,0,0,7,24,1,7,10,18,2,12,4,2,1,0,2.5,3.3,2.8,2.35,3.4,2.9,2.3,3.2,3.0,2.5,3.3,2.8
D1,31/08/13,Schalke 04,Leverkusen,2,0,H,1,0,12,11,3,1,14,18,2,6,0,3,0,0,3.2,3.5,2.15,3.25,3.6,2.1,2.75,3.3,2.4,3.2,3.6,2.15
D1,31/08/13,Wolfsburg,Hertha,2,0,H,2,0,18,8,6,4,16,15,2,2,1,2,0,0,1.91,3.6,3.75,1.91,3.7,3.7,2.0,3.4,3.5,1.95,3.75,3.6
D1,01/09/13,Ein Frankfurt,Dortmund,1,2,A,1,1,17,16,4,8,6,19,8,6,1,2,0,0,6.0,4.33,1.5,6.0,4.5,1.48,6.1,4.0,1.5,5.5,4.4,1.53
D1,01/09/13,Stuttgart,Hoffenheim,6,2,H,3,1,13,12,7,3,20,20,3,5,2,2,0,0,2.3,3.5,2.9,2.4,3.4,2.85,2.2,3.3,3.1,2.3,3.6,2.88
D1,13/09/13,Hertha,Stuttgart,0,1,A,0,0,19,8,8,5,13,12,7,4,1,1,0,0,2.15,3.4,3.3,2.3,3.5,3.1,2.2,3.3,3.1,2.25,3.5,3.0
D1,14/09/13,Augsburg,Freiburg,2,1,H,0,0,14,5,6,1,16,21,10,3,1,2,0,0,2.0,3.4,3.75,2.0,3.5,3.6,2.1,3.3,3.3,2.05,3.4,3.6
D1,14/09/13,Bayern Munich,Hannover,2,0,H,0,0,18,13,8,2,14,12,13,4,3,3,0,0,1.13,8.5,21.0,1.12,9.25,15.0,1.12,8.0,16.0,1.14,8.5,15.0
D1,14/09/13,Dortmund,Hamburg,6,2,H,2,1,32,4,14,2,11,19,7,2,0,4,0,0,1.25,6.0,11.0,1.23,6.5,10.0,1.25,5.5,10.3,1.29,5.5,10.0
D1,14/09/13,Leverkusen,Wolfsburg,3,1,H,1,1,14,14,7,5,17,12,4,3,2,2,0,1,1.8,3.75,4.2,1.8,4.0,4.2,1.75,3.5,4.5,1.75,4.0,4.2
D1,14/09/13,Mainz,Schalke 04,0,1,A,0,1,14,10,0,5,15,19,1,5,1,3,0,0,2.6,3.4,2.6,2.7,3.5,2.6,2.6,3.2,2.6,2.5,3.6,2.62
D1,14/09/13,Werder Bremen,Ein Frankfurt,0,3,A,0,2,12,14,4,6,14,13,5,10,2,0,1,0,2.45,3.3,2.8,2.5,3.4,2.7,2.35,3.3,2.85,2.5,3.3,2.8
D1,15/09/13,Braunschweig,Nurnberg,1,1,D,0,1,23,9,7,2,17,18,6,3,3,2,0,0,2.7,3.25,2.6,2.75,3.3,2.65,2.65,3.3,2.5,2.7,3.3,2.6
D1,15/09/13,Hoffenheim,M'gladbach,2,1,H,1,0,10,16,4,3,16,7,2,3,3,2,0,0,2.6,3.4,2.6,2.6,3.6,2.65,2.5,3.3,2.65,2.6,3.75,2.45
D1,20/09/13,M'gladbach,Braunschweig,4,1,H,2,0,13,12,7,3,11,12,0,1,1,2,0,1,1.36,4.75,8.0,1.36,5.0,8.0,1.4,4.4,7.3,1.4,4.75,7.5
D1,21/09/13,Hamburg,Werder Bremen,0,2,A,0,1,19,16,7,6,15,18,4,6,2,4,0,0,1.95,3.4,3.9,1.95,3.7,3.6,2.0,3.4,3.5,2.0,3.3,3.8
D1,21/09/13,Hannover,Augsburg,2,1,H,0,0,15,12,8,2,21,18,8,1,3,4,0,0,2.5,3.3,2.75,2.45,3.3,2.85,2.2,3.4,3.0,2.62,3.2,2.7
D1,21/09/13,Mainz,Leverkusen,1,4,A,0,3,14,13,2,5,14,11,4,4,1,1,0,0,3.5,3.5,2.05,3.4,3.5,2.05,3.1,3.3,2.2,3.5,3.2,2.15
D1,21/09/13,Nurnberg,Dortmund,1,1,D,0,1,10,18,3,6,7,12,3,9,1,2,0,0,8.0,5.25,1.33,8.5,5.5,1.3,7.3,4.4,1.4,8.0,4.5,1.4
D1,21/09/13,Schalke 04,Bayern Munich,0,4,A,0,2,10,14,1,5,7,6,5,5,1,0,0,0,5.5,4.33,1.53,5.25,4.5,1.53,5.4,3.7,1.6,6.0,3.8,1.57
D1,21/09/13,Wolfsburg,Hoffenheim,2,1,H,1,1,15,7,6,2,15,20,6,6,1,4,0,0,1.73,4.0,4.2,1.7,3.8,4.6,1.8,3.5,4.2,1.75,3.4,5.0
D1,22/09/13,Freiburg,Hertha,1,1,D,1,1,8,8,2,4,22,12,9,2,2,4,0,0,2.38,3.4,2.9,2.4,3.4,2.8,2.3,3.3,2.9,2.62,3.2,2.7
D1,22/09/13,Stuttgart,Ein Frankfurt,1,1,D,1,1,14,16,4,4,10,13,4,7,3,2,0,0,2.15,3.4,3.3,2.25,3.5,3.0,2.1,3.4,3.2,2.2,3.5,3.1
D1,27/09/13,Augsburg,M'gladbach,2,2,D,1,1,20,8,5,3,9,13,3,3,2,3,0,0,2.5,3.25,2.8,2.55,3.4,2.65,2.6,3.2,2.6,2.4,3.4,2.8
D1,28/09/13,Bayern Munich,Wolfsburg,1,0,H,0,0,11,4,4,2,12,24,8,2,2,1,0,0,1.14,8.0,15.0,1.17,8.0,11.5,1.15,7.0,15.0,1.17,7.0,15.0
D1,28/09/13,Dortmund,Freiburg,5,0,H,2,0,27,2,13,2,13,11,10,0,0,1,0,1,1.18,7.0,13.0,1.22,6.5,10.5,1.17,7.0,13.0,1.22,5.5,15.0
D1,28/09/13,Ein Frankfurt,Hamburg,2,2,D,1,1,9,11,5,3,21,16,9,6,2,1,0,0,1.8,3.6,4.33,1.8,3.75,4.1,1.85,3.5,3.9,1.83,3.5,4.2
D1,28/09/13,Hertha,Mainz,3,1,H,0,1,9,7,4,5,27,20,5,5,1,4,0,0,2.0,3.6,3.5,2.0,3.4,3.7,2.15,3.3,3.2,2.1,3.2,3.6
D1,28/09/13,Hoffenheim,Schalke 04,3,3,D,1,3,12,12,6,5,23,24,2,7,3,2,0,0,2.8,3.3,2.5,2.7,3.4,2.5,2.6,3.2,2.6,2.8,3.2,2.5
D1,28/09/13,Leverkusen,Hannover,2,0,H,2,0,19,8,8,2,12,17,4,9,0,0,0,0,1.33,5.0,9.0,1.35,5.5,7.0,1.35,4.8,7.6,1.4,4.2,9.0
D1,29/09/13,Braunschweig,Stuttgart,0,4,A,0,1,10,15,2,8,12,19,8,4,0,1,0,0,4.0,3.5,1.91,3.6,3.7,1.95,3.6,3.3,2.0,3.75,3.2,2.05
D1,29/09/13,Werder Bremen,Nurnberg,3,3,D,2,1,15,17,7,8,16,9,4,4,2,2,0,0,2.05,3.5,3.4,2.05,3.3,3.7,2.0,3.3,3.6,2.05,3.25,3.75
D1,04/10/13,Hannover,Hertha,1,1,D,1,0,14,10,5,2,18,21,8,9,3,3,0,0,2.25,3.4,3.1,2.3,3.3,3.1,2.2,3.3,3.1,2.3,3.5,2.9
D1,05/10/13,Leverkusen,Bayern Munich,1,1,D,1,1,5,27,3,11,15,8,2,14,1,1,0,0,5.0,4.2,1.6,5.25,4.0,1.6,4.75,3.8,1.65,5.5,3.5,1.67
D1,05/10/13,Mainz,Hoffenheim,2,2,D,0,2,17,14,8,5,23,16,7,1,2,2,0,0,2.25,3.5,3.0,2.35,3.5,2.8,2.25,3.3,3.0,2.4,3.3,2.9
D1,05/10/13,M'gladbach,Dortmund,2,0,H,0,0,6,27,3,8,8,9,1,9,2,2,0,1,5.0,3.75,1.67,4.6,3.9,1.7,4.5,3.5,1.75,5.0,3.75,1.67
D1,05/10/13,Schalke 04,Augsburg,4,1,H,2,1,13,10,6,3,9,10,2,3,1,3,0,1,1.73,3.8,4.5,1.72,3.75,4.6,1.7,3.7,4.5,1.8,3.5,4.5
D1,05/10/13,Stuttgart,Werder Bremen,1,1,D,1,1,20,7,6,2,11,9,13,1,1,2,0,0,1.7,3.8,4.75,1.72,3.8,4.5,1.8,3.5,4.2,1.8,3.5,4.5
D1,05/10/13,Wolfsburg,Braunschweig,0,2,A,0,1,17,7,3,3,21,26,7,2,2,3,0,0,1.29,5.5,9.5,1.28,6.0,8.75,1.3,5.0,9.0,1.29,5.5,10.0
D1,06/10/13,Freiburg,Ein Frankfurt,1,1,D,0,0,13,11,4,5,12,20,7,10,3,2,0,1,2.7,3.4,2.5,2.7,3.3,2.55,2.5,3.3,2.65,2.8,3.1,2.62
D1,06/10/13,Nurnberg,Hamburg,0,5,A,0,1,7,16,2,13,16,15,5,4,1,0,0,0,2.38,3.5,2.8,2.5,3.5,2.65,2.4,3.3,2.75,2.5,3.2,2.8
D1,18/10/13,Hoffenheim,Leverkusen,1,2,A,0,1,20,12,8,4,12,18,8,10,0,4,0,0,3.25,3.6,2.1,3.5,3.4,2.05,3.3,3.3,2.1,3.2,3.6,2.15
D1,19/10/13,Bayern Munich,Mainz,4,1,H,0,1,18,13,6,4,12,14,8,5,1,0,0,0,1.1,9.0,23.0,1.1,10.0,17.0,1.12,8.0,16.0,1.1,9.0,21.0
D1,19/10/13,Braunschweig,Schalke 04,2,3,A,1,1,14,14,4,6,13,21,1,9,0,1,0,0,4.75,3.6,1.73,4.6,3.9,1.7,4.5,3.5,1.75,4.8,3.5,1.75
D1,19/10/13,Dortmund,Hannover,1,0,H,1,0,18,10,8,5,11,15,10,2,1,3,0,0,1.22,6.5,11.0,1.22,6.75,10.0,1.2,6.0,12.5,1.22,6.0,12.0
D1,19/10/13,Ein Frankfurt,Nurnberg,1,1,D,0,0,15,10,3,4,22,14,6,1,2,3,0,0,1.57,4.0,5.5,1.57,4.1,5.5,1.65,3.6,5.1,1.62,4.0,5.0
D1,19/10/13,Hertha,M'gladbach,1,0,H,1,0,5,13,2,4,15,14,7,5,2,1,0,1,2.38,3.4,2.9,2.55,3.3,2.7,2.5,3.3,2.65,2.5,3.25,2.8
D1,19/10/13,Werder Bremen,Freiburg,0,0,D,0,0,18,11,4,2,21,12,7,8,1,2,0,0,1.95,3.4,3.8,2.0,3.5,3.6,1.85,3.45,4.0,2.1,3.4,3.4
D1,20/10/13,Augsburg,Wolfsburg,1,2,A,1,2,11,13,8,6,21,18,3,2,2,3,0,0,2.38,3.4,2.88,2.45,3.3,2.85,2.4,3.3,2.75,2.5,3.3,2.75
D1,20/10/13,Hamburg,Stuttgart,3,3,D,1,2,20,9,6,3,16,12,10,0,1,2,0,1,2.3,3.4,3.0,2.35,3.5,2.8,2.3,3.3,2.9,2.4,3.3,2.88
D1,25/10/13,Stuttgart,Nurnberg,1,1,D,1,1,10,7,4,6,11,15,2,4,2,1,0,0,1.62,4.0,5.0,1.62,4.0,5.0,1.65,3.6,5.1,1.62,4.2,5.0
D1,26/10/13,Bayern Munich,Hertha,3,2,H,1,1,13,10,5,5,10,13,4,5,3,4,0,0,1.1,9.0,21.0,1.1,10.0,16.5,1.12,8.0,16.0,1.1,9.0,26.0
D1,26/10/13,Hannover,Hoffenheim,1,4,A,0,2,11,10,3,5,21,11,8,1,3,2,2,0,2.3,3.5,2.9,2.25,3.5,3.0,2.2,3.3,3.1,2.3,3.5,2.9
D1,26/10/13,Leverkusen,Augsburg,2,1,H,1,1,24,11,7,1,7,9,13,7,1,3,0,0,1.5,4.33,6.0,1.48,4.4,6.25,1.45,4.0,7.0,1.53,4.0,6.0
D1,26/10/13,Mainz,Braunschweig,2,0,H,1,0,9,6,3,1,25,17,0,8,2,3,0,0,1.57,4.1,5.25,1.57,4.0,5.75,1.55,4.1,5.3,1.6,3.6,6.0
D1,26/10/13,Schalke 04,Dortmund,1,3,A,0,1,12,10,5,8,11,12,2,2,3,1,0,0,4.2,3.6,1.83,4.0,3.75,1.83,3.8,3.45,1.9,4.2,3.5,1.83
D1,26/10/13,Wolfsburg,Werder Bremen,3,0,H,1,0,19,8,12,2,12,17,5,4,1,2,0,0,1.62,3.75,5.5,1.65,3.75,5.25,1.75,3.5,4.5,1.7,3.6,5.0
D1,27/10/13,Freiburg,Hamburg,0,3,A,0,1,9,17,2,7,14,12,4,4,2,1,0,0,2.6,3.4,2.6,2.6,3.4,2.6,2.5,3.3,2.65,2.7,3.1,2.7
D1,27/10/13,M'gladbach,Ein Frankfurt,4,1,H,2,1,13,11,4,4,8,13,1,3,2,4,0,0,2.05,3.5,3.4,2.0,3.5,3.6,1.9,3.45,3.8,2.1,3.3,3.5
D1,01/11/13,Dortmund,Stuttgart,6,1,H,2,1,17,3,10,1,15,4,6,1,1,0,0,0,1.22,6.0,12.0,1.25,6.25,9.5,1.27,5.5,9.0,1.25,5.5,12.0
D1,02/11/13,Braunschweig,Leverkusen,1,0,H,0,0,17,16,7,8,12,21,4,4,2,2,0,1,7.0,4.33,1.44,5.75,4.6,1.48,7.0,4.0,1.45,7.0,4.0,1.5
