Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
F1,12/08/16,Bastia,Paris SG,0,1,A,0.0,0.0,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,13.0,4.75,1.29,11.0,5.0,1.33,7.5,4.3,1.4,10.0,4.75,1.33
F1,12/08/16,Monaco,Guingamp,2,2,D,0.0,2.0,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,1.62,3.8,5.25,1.65,3.75,5.5,1.7,3.4,5.0,1.67,3.6,5.5
F1,13/08/16,Bordeaux,St Etienne,3,2,H,1.0,0.0,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,2.5,3.1,3.1,2.4,3.0,3.1,2.4,3.15,2.9,2.5,3.0,3.1
F1,13/08/16,Caen,Lorient,3,2,H,2.0,2.0,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,2.2,3.25,3.5,2.1,3.2,3.5,2.1,3.15,3.45,2.2,3.1,3.5
F1,13/08/16,Dijon,Nantes,0,1,A,0.0,0.0,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,2.5,3.1,3.1,2.45,3.0,3.0,2.6,3.1,2.7,2.62,2.9,3.0
F1,13/08/16,Metz,Lille,3,2,H,0.0,1.0,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,3.4,3.2,2.2,3.3,3.0,2.3,3.3,3.1,2.2,3.4,3.0,2.3
F1,13/08/16,Montpellier,Angers,1,0,H,1.0,0.0,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,2.1,3.1,4.0,2.05,3.1,3.9,2.0,3.2,3.75,2.1,3.0,4.0
F1,14/08/16,Marseille,Toulouse,0,0,D,0.0,0.0,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,2.0,3.3,4.0,2.0,3.25,3.8,2.1,3.15,3.45,2.0,3.2,4.0
F1,14/08/16,Nancy,Lyon,0,3,A,0.0,2.0,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,3.5,3.3,2.15,3.3,3.2,2.2,3.45,3.15,2.1,3.5,3.2,2.15
F1,14/08/16,Nice,Rennes,1,0,H,0.0,0.0,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,2.38,3.1,3.25,2.45,3.0,3.0,2.3,3.1,3.1,2.4,3.0,3.2
