Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
F1,04/08/17,Monaco,Toulouse,3,2,H,1,1,17,6,7,3,12,23,8,2,1,3,0,0,1.3,5.5,10.0,1.3,5.75,9.75,1.35,4.7,7.9,1.3,5.0,10.0
F1,05/08/17,Lyon,Strasbourg,4,0,H,1,0,12,7,7,1,11,16,3,4,2,3,0,0,1.36,5.0,8.5,1.36,5.0,8.5,1.4,4.3,7.5,1.4,4.5,8.0
F1,05/08/17,Metz,Guingamp,1,3,A,1,1,6,13,4,5,9,13,3,3,1,2,0,0,2.8,3.2,2.63,2.8,3.2,2.65,2.65,3.1,2.65,2.7,3.1,2.7
F1,05/08/17,Montpellier,Caen,1,0,H,0,0,10,8,2,1,9,11,9,3,2,1,0,0,1.91,3.5,4.2,1.83,3.6,4.5,1.85,3.4,4.1,1.91,3.2,4.5
F1,05/08/17,Paris SG,Amiens,2,0,H,1,0,16,7,5,1,9,12,8,3,0,1,0,0,1.11,9.0,25.0,1.12,9.25,21.0,1.17,6.5,14.0,1.1,9.0,26.0
F1,05/08/17,St Etienne,Nice,1,0,H,1,0,8,6,3,2,11,8,2,7,2,1,0,0,2.2,3.2,3.5,2.25,3.2,3.4,2.3,3.1,3.1,2.3,3.2,3.2
F1,05/08/17,Troyes,Rennes,1,1,D,0,0,11,16,4,4,13,8,6,7,1,0,0,0,2.6,3.1,2.9,2.7,3.2,2.75,2.5,3.1,2.8,2.7,3.0,2.8
F1,06/08/17,Angers,Bordeaux,2,2,D,1,1,9,7,5,4,16,15,0,5,3,2,0,0,2.5,3.1,3.1,2.55,3.1,2.95,2.5,3.1,2.8,2.62,3.0,2.9
F1,06/08/17,Lille,Nantes,3,0,H,0,0,14,9,5,4,11,17,15,3,2,3,0,0,2.0,3.2,4.1,2.05,3.25,4.0,2.3,3.1,3.1,2.15,3.0,3.8
F1,06/08/17,Marseille,Dijon,3,0,H,0,0,18,12,5,1,7,10,7,3,1,0,0,0,1.4,4.75,8.0,1.4,4.75,8.0,1.45,4.0,7.0,1.4,4.5,8.0
