Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
SP1,17/08/13,Sociedad,Getafe,2,0,H,1,0,16,15,6,2,13,6,6,5,1,1,0,0,1.73,3.6,4.75,1.72,3.6,4.75,1.7,3.6,4.7,1.75,3.75,4.5
SP1,17/08/13,Valencia,Malaga,1,0,H,0,0,9,11,1,2,15,23,9,6,3,5,0,0,1.53,4.0,6.0,1.57,4.0,5.5,1.55,3.9,5.6,1.55,4.0,6.0
SP1,17/08/13,Valladolid,Ath Bilbao,1,2,A,1,1,8,13,2,3,10,8,5,5,1,0,0,0,2.5,3.3,2.8,2.6,3.3,2.65,2.4,3.3,2.75,2.5,3.3,2.8
SP1,18/08/13,Barcelona,Levante,7,0,H,6,0,22,4,13,1,15,16,9,3,1,3,0,0,1.08,10.0,26.0,1.08,10.5,23.0,1.1,8.0,20.0,1.08,11.0,23.0
SP1,18/08/13,Osasuna,Granada,1,2,A,0,2,14,13,5,4,15,17,7,6,1,4,0,0,2.0,3.3,3.75,2.0,3.3,3.8,2.0,3.3,3.6,2.15,3.25,3.5
SP1,18/08/13,Real Madrid,Betis,2,1,H,1,1,20,11,9,4,11,20,5,7,1,2,0,0,1.17,7.0,17.0,1.16,7.75,13.5,1.17,6.5,14.0,1.17,7.5,15.0
SP1,18/08/13,Sevilla,Ath Madrid,1,3,A,1,1,14,16,5,6,12,13,1,9,4,4,0,0,2.8,3.3,2.5,2.7,3.4,2.5,2.6,3.2,2.6,2.8,3.3,2.5
SP1,19/08/13,Almeria,Villarreal,2,3,A,1,0,15,14,2,4,17,14,6,10,2,0,0,0,2.6,3.2,2.75,2.55,3.25,2.75,2.5,3.3,2.65,2.5,3.2,2.9
SP1,19/08/13,Celta,Espanol,2,2,D,1,0,15,6,10,5,23,12,7,2,4,4,0,0,2.2,3.2,3.4,2.15,3.4,3.3,2.2,3.3,3.1,2.15,3.25,3.5
SP1,19/08/13,Vallecano,Elche,3,0,H,2,0,11,8,5,1,16,11,3,4,2,2,0,0,2.25,3.25,3.25,2.2,3.3,3.25,2.1,3.3,3.3,2.25,3.3,3.2
SP1,23/08/13,Ath Bilbao,Osasuna,2,0,H,1,0,8,18,2,5,15,20,5,10,2,2,0,0,1.62,3.75,5.5,1.62,3.7,5.75,1.7,3.6,4.7,1.67,3.6,5.5
SP1,23/08/13,Getafe,Almeria,2,2,D,1,2,14,16,5,7,15,17,2,7,2,1,0,0,1.85,3.5,4.2,1.8,3.4,4.6,1.85,3.45,4.0,1.83,3.5,4.4
SP1,24/08/13,Elche,Sociedad,1,1,D,1,0,12,11,2,4,9,12,4,2,4,3,0,0,3.2,3.4,2.2,3.4,3.3,2.15,3.0,3.3,2.25,3.2,3.3,2.25
SP1,24/08/13,Espanol,Valencia,3,1,H,1,1,13,8,3,2,17,12,6,3,3,3,0,0,3.0,3.25,2.38,3.1,3.3,2.25,2.9,3.3,2.3,3.2,3.3,2.25
SP1,24/08/13,Villarreal,Valladolid,2,1,H,1,1,17,6,6,2,11,25,8,3,4,2,0,0,1.85,3.6,4.0,1.85,3.4,4.33,1.85,3.45,4.0,1.85,3.5,4.33
SP1,25/08/13,Ath Madrid,Vallecano,5,0,H,3,0,14,7,5,1,11,9,8,3,0,1,0,0,1.29,5.25,10.0,1.34,4.75,9.25,1.35,4.8,7.6,1.33,5.0,9.0
