Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
E0,17/08/13,Arsenal,Aston Villa,1,3,A,1,1,16,9,4,4,15,18,4,3,4,5,1,0,1.44,4.75,8.0,1.36,5.0,7.75,1.37,4.6,7.5,1.36,4.8,8.5
E0,17/08/13,Liverpool,Stoke,1,0,H,1,0,26,10,11,4,11,11,12,6,1,1,0,0,1.4,5.0,9.5,1.4,4.33,8.25,1.4,4.4,7.3,1.36,4.6,9.0
E0,17/08/13,Norwich,Everton,2,2,D,0,0,8,19,2,6,13,10,6,8,2,0,0,0,3.2,3.4,2.4,3.1,3.25,2.3,2.9,3.3,2.3,3.1,3.3,2.3
E0,17/08/13,Sunderland,Fulham,0,1,A,0,0,20,5,3,1,14,14,6,1,0,3,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.2,3.2,3.2,2.2,3.3,3.3
E0,17/08/13,Swansea,Man United,1,4,A,0,2,17,15,6,7,13,10,7,4,1,3,0,0,4.2,3.5,2.0,4.1,3.5,1.87,4.2,3.5,1.8,4.0,3.4,1.91
E0,17/08/13,West Brom,Southampton,0,1,A,0,0,11,7,1,2,14,24,4,8,4,0,0,0,2.4,3.4,3.2,2.3,3.25,3.1,2.2,3.3,3.1,2.25,3.3,3.2
E0,17/08/13,West Ham,Cardiff,2,0,H,1,0,18,12,4,1,10,7,4,3,0,1,0,0,2.0,3.6,4.0,1.91,3.4,4.0,1.9,3.45,3.8,1.95,3.5,3.8
E0,18/08/13,Chelsea,Hull,2,0,H,2,0,22,7,5,2,7,16,5,1,0,1,0,0,1.2,7.0,21.0,1.19,6.25,15.0,1.2,5.8,13.0,1.2,6.0,15.0
E0,18/08/13,Crystal Palace,Tottenham,0,1,A,0,0,5,17,3,2,6,9,3,7,1,0,0,0,4.75,3.75,1.83,4.75,3.7,1.72,4.2,3.5,1.8,4.75,3.6,1.75
E0,19/08/13,Man City,Newcastle,4,0,H,2,0,20,5,11,1,9,7,8,1,2,3,0,1,1.33,5.5,11.0,1.3,5.25,9.75,1.3,5.0,9.0,1.29,5.5,10.0
E0,21/08/13,Chelsea,Aston Villa,2,1,H,1,1,15,7,3,3,12,13,1,2,1,4,0,0,1.29,5.5,10.0,1.28,5.25,10.0,1.3,5.0,9.0,1.3,5.5,9.5
E0,24/08/13,Aston Villa,Liverpool,0,1,A,0,1,17,5,3,1,9,8,8,2,3,3,0,0,4.0,3.75,1.95,3.8,3.6,1.91,3.6,3.3,2.0,3.75,3.6,1.95
E0,24/08/13,Everton,West Brom,0,0,D,0,0,22,7,8,2,14,15,11,1,1,1,0,0,1.57,4.33,6.5,1.53,4.1,6.0,1.55,3.9,5.6,1.55,4.0,6.0
E0,24/08/13,Fulham,Arsenal,1,3,A,0,2,16,18,7,7,10,8,1,8,2,2,0,0,3.8,3.5,2.1,3.6,3.5,2.0,3.3,3.3,2.1,3.4,3.5,2.1
E0,24/08/13,Hull,Norwich,1,0,H,1,0,6,13,1,4,14,19,1,5,1,1,1,0,2.45,3.4,3.1,2.4,3.25,2.95,2.4,3.3,2.75,2.4,3.1,3.1
E0,24/08/13,Newcastle,West Ham,0,0,D,0,0,16,6,0,1,12,14,5,4,0,1,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.1,3.3,3.3,2.2,3.3,3.3
E0,24/08/13,Southampton,Sunderland,1,1,D,0,1,17,8,6,3,12,13,5,2,2,2,0,0,1.73,3.8,5.5,1.65,3.8,5.0,1.85,3.45,4.0,1.67,3.6,5.5
