Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
SP1,18/08/12,Celta,Malaga,0,1,A,0,0,17,16,3,6,13,9,8,9,2,0,0,0,2.25,3.25,3.2,2.25,3.4,3.25,2.4,3.2,2.7,2.25,3.3,3.2
SP1,18/08/12,Mallorca,Espanol,2,1,H,1,1,17,13,9,5,14,14,7,4,3,2,0,0,2.0,3.3,3.8,2.0,3.3,4.1,2.1,3.2,3.2,2.05,3.25,3.8
SP1,18/08/12,Sevilla,Getafe,2,1,H,2,0,16,10,5,3,15,17,8,8,4,4,0,0,1.62,3.75,5.5,1.6,3.75,5.5,1.7,3.5,4.4,1.7,3.75,4.8
SP1,19/08/12,Ath Bilbao,Betis,3,5,A,0,3,17,13,8,9,12,17,11,4,2,2,0,0,1.83,3.5,4.2,1.85,3.5,4.1,1.8,3.4,4.0,1.91,3.5,4.0
SP1,19/08/12,Barcelona,Sociedad,5,1,H,4,1,18,5,10,2,9,12,9,1,2,3,0,0,1.1,9.0,26.0,1.08,10.0,23.0,1.12,7.0,14.0,1.07,11.0,29.0
SP1,19/08/12,Levante,Ath Madrid,1,1,D,1,1,6,11,1,3,17,7,3,6,2,1,0,0,3.2,3.4,2.2,3.1,3.4,2.3,2.6,3.2,2.5,3.1,3.3,2.3
SP1,19/08/12,Real Madrid,Valencia,1,1,D,1,1,24,5,9,1,10,16,12,5,1,4,0,0,1.25,6.0,10.0,1.26,5.75,9.75,1.25,5.0,10.0,1.25,5.5,10.0
SP1,20/08/12,La Coruna,Osasuna,2,0,H,0,0,10,11,3,1,14,13,5,7,3,4,0,0,2.0,3.4,3.75,1.95,3.4,3.8,2.2,3.2,3.0,2.1,3.25,3.6
SP1,20/08/12,Vallecano,Granada,1,0,H,0,0,16,14,3,3,13,9,3,5,2,0,0,0,2.2,3.3,3.3,2.15,3.3,3.3,2.1,3.2,3.2,2.15,3.3,3.4
SP1,20/08/12,Zaragoza,Valladolid,0,1,A,0,1,11,7,3,2,17,14,4,4,2,5,0,0,2.15,3.3,3.4,2.05,3.3,3.6,2.0,3.2,3.4,2.2,3.3,3.3
SP1,25/08/12,Betis,Vallecano,1,2,A,1,1,14,19,4,5,14,17,6,8,5,5,0,0,1.7,3.6,5.0,1.7,3.7,4.75,1.75,3.4,4.3,1.7,3.75,4.8
SP1,25/08/12,Espanol,Zaragoza,1,2,A,1,0,9,10,1,5,16,21,5,3,4,4,1,0,1.67,3.6,5.25,1.75,3.4,5.0,1.7,3.5,4.4,1.73,3.5,5.0
SP1,25/08/12,Malaga,Mallorca,1,1,D,0,0,18,9,6,4,7,12,14,4,2,4,1,0,1.91,3.5,4.0,1.9,3.4,4.0,1.9,3.3,3.7,1.83,3.5,4.33
SP1,25/08/12,Sociedad,Celta,2,1,H,0,0,15,14,6,4,17,16,7,7,5,2,0,0,2.0,3.4,3.75,2.1,3.25,3.75,2.1,3.3,3.1,2.0,3.3,3.75
SP1,26/08/12,Getafe,Real Madrid,2,1,H,0,1,11,14,3,5,12,11,3,7,3,1,0,1,9.5,5.5,1.29,10.5,5.5,1.26,8.5,4.8,1.3,9.5,5.5,1.29
SP1,26/08/12,Granada,Sevilla,1,1,D,1,1,18,9,7,3,15,15,6,0,4,2,0,1,3.0,3.25,2.38,3.0,3.25,2.45,2.7,3.2,2.4,2.9,3.3,2.38
SP1,26/08/12,Osasuna,Barcelona,1,2,A,1,0,17,15,5,10,17,11,4,7,6,3,1,0,12.0,6.0,1.22,11.0,6.25,1.22,10.0,5.0,1.25,12.0,6.0,1.22
SP1,26/08/12,Valencia,La Coruna,3,3,D,3,1,13,13,5,8,16,10,2,10,5,2,1,0,1.44,4.2,7.5,1.45,4.2,7.0,1.45,3.9,6.5,1.5,4.0,6.5
SP1,27/08/12,Ath Madrid,Ath Bilbao,4,0,H,2,0,23,7,14,0,11,13,10,4,3,3,0,0,1.6,4.0,5.5,1.67,3.8,5.25,1.65,3.5,4.6,1.62,3.75,5.5
SP1,27/08/12,Valladolid,Levante,2,0,H,1,0,15,8,7,1,11,14,7,1,1,5,0,1,2.05,3.4,3.5,2.1,3.2,3.6,2.15,3.2,3.1,2.1,3.25,3.6
SP1,01/09/12,Celta,Osasuna,2,0,H,0,0,12,7,4,2,5,15,4,6,1,2,0,1,2.0,3.3,3.75,2.0,3.3,4.0,2.1,3.2,3.2,2.0,3.4,3.75
SP1,01/09/12,La Coruna,Getafe,1,1,D,1,1,10,13,5,4,8,13,6,6,2,2,0,0,2.2,3.2,3.4,2.25,3.25,3.4,2.0,3.3,3.3,2.1,3.3,3.5
SP1,01/09/12,Mallorca,Sociedad,1,0,H,0,0,15,10,5,3,21,11,6,3,5,2,0,0,2.1,3.2,3.6,2.1,3.25,3.75,1.85,3.4,3.8,2.05,3.4,3.5
SP1,01/09/12,Zaragoza,Malaga,0,1,A,0,0,11,11,4,3,23,14,10,10,1,4,0,0,2.7,3.25,2.6,2.7,3.2,2.6,2.55,3.2,2.55,2.62,3.2,2.7
SP1,02/09/12,Ath Bilbao,Valladolid,2,0,H,0,0,17,8,3,1,6,7,9,4,0,1,0,0,2.0,3.4,3.75,2.0,3.4,3.6,2.0,3.3,3.3,2.05,3.4,3.6
SP1,02/09/12,Barcelona,Valencia,1,0,H,1,0,11,4,5,1,8,10,5,3,1,2,0,0,1.22,6.0,13.0,1.22,6.25,11.0,1.2,5.5,12.0,1.22,6.0,13.0
SP1,02/09/12,Levante,Espanol,3,2,H,0,2,11,9,4,2,30,21,6,2,3,6,1,0,2.2,3.2,3.4,2.15,3.2,3.4,2.1,3.3,3.1,2.2,3.2,3.4
SP1,02/09/12,Real Madrid,Granada,3,0,H,1,0,22,7,8,0,12,11,6,3,2,0,0,1,1.08,10.0,23.0,1.1,9.5,18.0,1.11,7.5,16.0,1.08,10.0,23.0
SP1,02/09/12,Vallecano,Sevilla,0,0,D,0,0,13,18,4,3,23,14,5,6,4,2,1,0,2.8,3.25,2.5,2.65,3.3,2.55,2.6,3.2,2.5,2.75,3.3,2.5
SP1,15/09/12,Getafe,Barcelona,1,4,A,0,1,6,15,3,9,14,10,1,7,2,2,0,0,11.0,6.0,1.25,10.5,5.5,1.26,9.0,5.0,1.27,10.0,5.5,1.29
SP1,15/09/12,Malaga,Levante,3,1,H,1,0,12,5,5,1,15,19,4,4,2,4,1,0,1.7,3.6,5.0,1.62,3.75,5.25,1.7,3.5,4.4,1.67,3.6,5.5
SP1,15/09/12,Sevilla,Real Madrid,1,0,H,1,0,10,18,7,6,21,13,3,4,3,3,0,0,5.0,4.0,1.62,5.5,4.2,1.53,5.7,3.8,1.5,5.0,4.2,1.62
SP1,15/09/12,Valencia,Celta,2,1,H,1,1,15,15,4,4,17,15,8,11,3,2,0,0,1.44,4.33,7.0,1.45,4.2,7.0,1.45,3.9,6.5,1.5,4.2,6.5
