Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,16/08/2019,Bayern Munich,Hertha,2,2,D,1,2,17,6,7,3,6,17,12,0,3,3,0,0,1.14,8.0,15.0,1.18,7.0,16.0,1.25,6.1,11.0,1.18,7.5,15.0
D1,17/08/2019,Dortmund,Augsburg,5,1,H,1,1,23,5,10,1,8,6,10,0,0,0,0,0,1.2,7.0,13.0,1.22,6.5,12.5,1.25,6.1,11.0,1.2,6.5,15.0
D1,17/08/2019,Freiburg,Mainz,3,0,H,0,0,19,19,8,5,6,15,5,5,1,3,0,0,2.25,3.25,3.4,2.2,3.3,3.4,2.15,3.4,3.35,2.2,3.3,3.4
D1,17/08/2019,Leverkusen,Paderborn,3,2,H,2,2,13,11,4,6,8,9,6,6,2,0,0,0,1.25,6.0,12.0,1.3,5.5,10.0,1.27,5.8,10.5,1.27,5.8,11.0
D1,17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,A,0,1,23,12,10,7,8,13,14,5,0,2,0,0,1.75,3.75,4.75,1.75,4.0,4.4,1.7,4.0,4.7,1.73,3.9,4.75
D1,17/08/2019,Wolfsburg,FC Koln,2,1,H,1,0,14,11,5,2,14,18,2,6,1,3,0,0,1.95,3.5,4.0,1.91,3.6,4.0,1.9,3.8,3.85,1.88,3.8,3.9
D1,17/08/2019,M'gladbach,Schalke 04,0,0,D,0,0,16,8,4,1,8,10,8,3,3,2,0,0,2.0,3.5,3.75,2.1,3.5,3.5,2.05,3.45,3.65,2.05,3.4,3.7
D1,18/08/2019,Ein Frankfurt,Hoffenheim,1,0,H,1,0,17,10,8,1,16,9,10,5,3,1,0,0,2.25,3.6,3.0,2.35,3.5,2.95,2.3,3.75,2.9,2.3,3.6,3.0
D1,18/08/2019,Union Berlin,RB Leipzig,0,4,A,0,3,13,14,2,8,14,5,3,6,1,0,0,0,5.0,3.8,1.7,4.4,4.1,1.72,4.65,4.0,1.7,4.75,4.0,1.7
D1,23/08/2019,FC Koln,Dortmund,1,3,A,1,0,13,14,1,6,11,10,7,8,2,1,0,0,6.5,4.75,1.44,6.5,4.75,1.42,6.5,4.3,1.5,6.0,4.6,1.5
