Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,26/08/16,Bayern Munich,Werder Bremen,6,0,H,2,0,27,4,14,2,7,8,8,1,0,1,0,0,1.1,10.0,23.0,1.1,9.75,18.5,1.15,7.0,15.0,1.11,8.0,21.0
D1,27/08/16,Augsburg,Wolfsburg,0,2,A,0,1,13,12,2,6,15,17,2,3,1,2,0,0,2.8,3.25,2.6,2.8,3.4,2.4,2.6,3.2,2.6,2.7,3.2,2.45
D1,27/08/16,Dortmund,Mainz,2,1,H,1,0,17,12,8,4,3,20,7,2,0,3,0,0,1.36,5.0,8.5,1.36,4.6,8.25,1.4,4.4,7.3,1.36,4.5,7.0
D1,27/08/16,Ein Frankfurt,Schalke 04,1,0,H,1,0,11,11,4,3,11,15,7,5,2,2,1,0,3.4,3.3,2.2,3.0,3.5,2.2,3.1,3.3,2.2,2.88,3.5,2.2
D1,27/08/16,FC Koln,Darmstadt,2,0,H,1,0,21,12,8,3,11,15,6,5,3,3,0,0,1.8,3.5,4.75,1.75,3.5,4.75,1.8,3.5,4.2,1.8,3.4,4.0
D1,27/08/16,Hamburg,Ingolstadt,1,1,D,1,0,8,13,1,5,17,15,4,5,2,2,0,0,2.2,3.2,3.5,2.2,3.2,3.3,2.1,3.3,3.3,2.1,3.3,3.2
D1,27/08/16,M'gladbach,Leverkusen,2,1,H,1,0,14,12,9,6,11,16,7,3,3,3,0,0,2.3,3.4,3.1,2.25,3.4,3.0,2.5,3.2,2.75,2.25,3.3,2.9
D1,28/08/16,Hertha,Freiburg,2,1,H,0,0,15,8,5,2,10,10,5,2,0,3,0,0,2.15,3.3,3.5,2.05,3.3,3.6,2.2,3.2,3.2,2.15,3.0,3.4
D1,28/08/16,Hoffenheim,RB Leipzig,2,2,D,0,0,11,23,5,9,12,14,2,9,2,4,0,0,2.5,3.25,2.9,2.6,3.1,2.75,2.6,3.2,2.6,2.4,3.3,2.7
D1,09/09/16,Schalke 04,Bayern Munich,0,2,A,0,0,9,18,2,2,13,12,2,7,2,4,0,0,10.0,5.5,1.3,11.0,5.75,1.3,8.5,5.0,1.35,9.0,5.5,1.3
D1,10/09/16,Darmstadt,Ein Frankfurt,1,0,H,0,0,8,14,1,3,16,13,1,4,1,2,0,0,3.0,3.3,2.4,3.0,3.3,2.4,2.9,3.2,2.5,2.8,3.2,2.5
