Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
I1,24/08/2019,Parma,Juventus,0,1,A,0,1,5,9,4,4,12,14,5,8,2,3,0,0,9.0,5.25,1.33,9.5,5.0,1.3,9.5,5.2,1.33,11.0,5.25,1.29
I1,24/08/2019,Fiorentina,Napoli,3,4,A,1,2,10,8,6,6,21,16,4,5,2,4,0,0,4.75,3.75,1.72,4.6,3.6,1.75,4.5,3.8,1.77,4.8,3.6,1.75
I1,25/08/2019,Udinese,Milan,1,0,H,0,0,11,6,6,0,14,11,9,4,1,3,0,0,3.75,3.3,2.05,3.7,3.2,2.05,3.75,3.35,2.05,3.9,3.25,2.0
I1,25/08/2019,Cagliari,Brescia,0,1,A,0,0,9,8,5,3,10,11,8,8,2,2,0,0,1.83,3.6,4.33,1.8,3.5,4.4,1.8,3.6,4.55,1.78,3.6,4.5
I1,25/08/2019,Roma,Genoa,3,3,D,2,2,17,6,9,4,15,13,5,1,3,1,0,0,1.45,4.2,8.0,1.44,4.25,7.0,1.5,4.3,6.6,1.47,4.0,7.5
I1,25/08/2019,Sampdoria,Lazio,0,3,A,0,1,12,16,8,10,13,11,5,9,2,2,0,0,3.5,3.4,2.05,3.4,3.3,2.1,3.45,3.45,2.1,3.6,3.25,2.1
I1,25/08/2019,Spal,Atalanta,2,3,A,2,1,8,18,3,14,13,16,2,10,2,1,0,0,4.75,3.75,1.72,5.0,3.5,1.72,4.75,3.65,1.77,5.0,3.5,1.73
I1,25/08/2019,Torino,Sassuolo,2,1,H,1,0,7,13,4,9,21,15,6,6,4,3,0,0,1.85,3.5,4.33,1.83,3.5,4.25,1.87,3.55,4.3,1.85,3.4,4.4
I1,25/08/2019,Verona,Bologna,1,1,D,1,1,5,14,2,5,12,13,1,6,1,3,1,0,3.4,3.2,2.25,3.2,3.2,2.25,3.35,3.2,2.3,3.4,3.2,2.2
I1,26/08/2019,Inter,Lecce,4,0,H,2,0,16,10,7,4,14,8,7,7,1,2,0,1,1.22,6.25,13.0,1.22,6.0,12.5,1.25,6.0,11.5,1.22,6.0,15.0
I1,30/08/2019,Bologna,Spal,1,0,H,0,0,18,7,9,1,13,13,11,2,3,2,0,0,1.8,3.5,4.6,1.85,3.5,4.5,1.83,3.5,4.6,1.78,3.5,4.75
I1,31/08/2019,Milan,Brescia,1,0,H,1,0,11,4,6,2,14,18,5,3,3,4,0,0,1.44,4.33,8.0,1.45,4.2,8.25,1.5,4.25,6.7,1.44,4.2,7.5
I1,31/08/2019,Juventus,Napoli,4,3,H,2,0,10,12,8,7,13,13,2,5,3,3,0,0,1.95,3.4,4.2,1.95,3.3,4.25,1.97,3.4,4.0,1.95,3.25,4.2
I1,01/09/2019,Lazio,Roma,1,1,D,0,1,21,8,13,5,15,13,8,4,4,3,0,0,2.15,3.6,3.3,2.15,3.6,3.25,2.15,3.7,3.2,2.1,3.6,3.25
