Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,24/08/2018,Bayern Munich,Hoffenheim,3,1,H,1,0,16,8,5,5,2,21,7,2,1,4,0,0,1.2,7.5,12.0,1.2,7.5,11.5,1.3,5.8,9.0,1.17,8.0,13.0
D1,25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,A,1,0,9,14,5,7,11,10,7,5,1,0,0,0,2.37,3.25,3.0,2.4,3.3,3.0,2.4,3.3,2.95,2.45,3.25,2.9
D1,25/08/2018,Freiburg,Ein Frankfurt,0,2,A,0,1,22,10,6,2,7,12,6,4,1,2,0,0,2.3,3.3,3.25,2.35,3.2,3.2,2.4,3.3,2.95,2.25,3.3,3.2
D1,25/08/2018,Hertha,Nurnberg,1,0,H,1,0,10,12,3,3,13,10,8,4,2,2,0,0,2.04,3.4,3.75,2.05,3.4,3.7,2.1,3.4,3.5,2.05,3.4,3.6
D1,25/08/2018,M'gladbach,Leverkusen,2,0,H,0,0,17,13,7,3,10,10,9,5,1,2,0,0,2.8,3.5,2.45,2.85,3.5,2.4,2.8,3.4,2.5,2.62,3.7,2.45
D1,25/08/2018,Werder Bremen,Hannover,1,1,D,0,0,15,13,3,4,5,6,4,3,0,0,0,0,1.85,3.6,4.0,1.87,3.75,4.0,1.9,3.5,4.1,1.85,3.6,4.0
D1,25/08/2018,Wolfsburg,Schalke 04,2,1,H,1,0,11,9,7,4,16,11,7,2,5,3,0,1,3.1,3.3,2.37,3.0,3.3,2.4,2.85,3.3,2.5,3.2,3.2,2.3
D1,26/08/2018,Dortmund,RB Leipzig,4,1,H,3,1,10,10,5,7,8,11,7,9,2,2,0,0,1.72,3.8,4.75,1.75,3.8,4.6,1.8,3.6,4.5,1.75,4.0,4.2
D1,26/08/2018,Mainz,Stuttgart,1,0,H,0,0,8,12,3,3,15,6,6,3,1,2,0,0,2.7,3.25,2.7,2.8,3.25,2.6,2.65,3.3,2.65,2.75,3.2,2.62
D1,31/08/2018,Hannover,Dortmund,0,0,D,0,0,7,8,0,3,11,5,4,1,0,0,0,0,5.5,4.33,1.57,5.5,4.33,1.57,5.5,4.0,1.6,4.8,4.33,1.62
D1,01/09/2018,Augsburg,M'gladbach,1,1,D,1,0,18,7,7,2,12,12,9,4,1,2,0,0,2.62,3.4,2.7,2.65,3.4,2.65,2.65,3.4,2.65,2.6,3.4,2.62
D1,01/09/2018,Ein Frankfurt,Werder Bremen,1,2,A,0,1,5,11,1,6,6,11,8,3,1,2,1,0,2.4,3.5,2.9,2.45,3.4,2.85,2.3,3.3,3.15,2.45,3.3,2.88
D1,01/09/2018,Hoffenheim,Freiburg,3,1,H,0,1,20,9,7,4,13,14,6,4,1,2,0,0,1.55,4.0,6.5,1.6,4.1,5.5,1.6,4.2,5.3,1.6,4.2,5.0
D1,01/09/2018,Leverkusen,Wolfsburg,1,3,A,1,1,16,12,3,5,13,13,5,3,3,3,0,0,1.61,4.33,5.0,1.65,3.9,5.25,1.65,4.1,5.0,1.67,4.0,4.75
D1,01/09/2018,Nurnberg,Mainz,1,1,D,0,1,19,6,4,1,10,11,5,1,2,2,0,0,2.37,3.3,3.1,2.35,3.3,3.1,2.4,3.3,2.95,2.3,3.2,3.2
D1,01/09/2018,Stuttgart,Bayern Munich,0,3,A,0,1,4,20,0,6,3,5,0,12,0,0,0,0,11.0,5.5,1.28,11.0,5.25,1.3,9.5,5.5,1.3,11.0,4.8,1.3
D1,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,D,0,0,23,14,7,8,11,15,3,3,1,4,0,0,1.4,4.75,8.0,1.42,4.75,7.5,1.45,4.5,7.1,1.4,5.0,7.0
D1,02/09/2018,Schalke 04,Hertha,0,2,A,0,1,16,5,4,3,16,15,9,0,1,1,1,0,1.75,3.6,5.0,1.78,3.5,5.0,1.75,3.7,4.8,1.75,3.6,4.75
D1,14/09/2018,Dortmund,Ein Frankfurt,3,1,H,1,0,10,5,6,2,11,11,7,1,0,1,0,0,1.4,5.0,7.5,1.44,4.75,7.0,1.45,4.5,7.0,1.4,4.75,7.5
D1,15/09/2018,Bayern Munich,Leverkusen,3,1,H,2,1,18,3,5,1,4,12,9,1,0,1,0,1,1.2,7.0,13.0,1.22,6.75,12.5,1.27,6.0,10.0,1.22,6.5,11.0
D1,15/09/2018,Fortuna Dusseldorf,Hoffenheim,2,1,H,1,0,8,18,4,5,10,19,0,9,1,2,0,0,4.0,3.6,1.9,3.9,3.7,1.91,3.8,3.4,2.0,3.7,3.75,1.91
D1,15/09/2018,Mainz,Augsburg,2,1,H,0,0,22,13,7,4,9,16,5,4,1,2,0,0,2.54,3.25,2.87,2.6,3.1,2.9,2.65,3.15,2.8,2.6,3.2,2.75
D1,15/09/2018,M'gladbach,Schalke 04,2,1,H,1,0,15,15,4,6,5,12,6,6,0,4,0,0,2.37,3.4,3.0,2.4,3.3,3.0,2.45,3.35,2.95,2.45,3.3,2.9
D1,15/09/2018,RB Leipzig,Hannover,3,2,H,2,1,15,16,6,8,12,12,4,12,4,4,0,0,1.53,4.33,5.5,1.53,4.5,5.75,1.55,4.45,5.4,1.55,4.33,5.5
D1,15/09/2018,Wolfsburg,Hertha,2,2,D,0,0,15,9,6,5,10,13,7,2,1,2,0,0,2.1,3.25,3.75,2.1,3.2,3.8,2.1,3.4,3.5,2.15,3.0,3.8
D1,16/09/2018,Freiburg,Stuttgart,3,3,D,1,1,12,11,5,6,13,11,5,8,3,4,1,0,2.62,3.25,2.75,2.55,3.2,2.9,2.7,3.1,2.8,2.62,3.2,2.75
D1,16/09/2018,Werder Bremen,Nurnberg,1,1,D,1,0,14,11,2,2,17,5,4,7,2,0,0,0,1.66,4.0,5.0,1.67,4.0,5.0,1.65,4.0,5.0,1.67,4.0,4.75
D1,21/09/2018,Stuttgart,Fortuna Dusseldorf,0,0,D,0,0,10,19,1,7,8,19,2,9,0,2,0,0,1.72,3.6,5.25,1.72,3.7,5.0,1.8,3.6,4.5,1.8,3.7,4.33
D1,22/09/2018,Augsburg,Werder Bremen,2,3,A,1,2,21,12,7,7,10,11,7,4,2,2,0,0,2.5,3.25,2.9,2.45,3.4,2.85,2.5,3.4,2.8,2.4,3.4,2.88
D1,22/09/2018,Hertha,M'gladbach,4,2,H,2,1,16,17,7,4,9,13,8,7,2,2,0,0,2.37,3.3,3.1,2.5,3.3,2.9,2.6,3.3,2.75,2.45,3.3,2.88
D1,22/09/2018,Hoffenheim,Dortmund,1,1,D,1,0,17,8,5,2,12,10,4,4,2,1,0,1,2.62,3.75,2.4,2.7,3.5,2.55,2.85,3.5,2.4,2.7,3.6,2.45
D1,22/09/2018,Nurnberg,Hannover,2,0,H,0,0,14,9,6,3,16,7,9,3,3,1,0,1,2.5,3.25,2.9,2.45,3.4,2.85,2.5,3.3,2.85,2.45,3.3,2.88
D1,22/09/2018,Schalke 04,Bayern Munich,0,2,A,0,1,10,14,2,7,12,11,0,8,2,1,0,0,8.0,4.5,1.4,8.5,5.0,1.36,7.0,4.5,1.45,7.5,5.0,1.38
D1,22/09/2018,Wolfsburg,Freiburg,1,3,A,0,2,17,12,9,8,12,17,7,7,0,3,0,0,1.72,3.6,5.25,1.7,3.8,5.0,1.65,3.9,5.3,1.75,3.6,4.75
D1,23/09/2018,Ein Frankfurt,RB Leipzig,1,1,D,1,0,8,9,5,2,14,8,4,2,1,1,0,0,2.9,3.4,2.35,3.1,3.4,2.3,2.9,3.4,2.4,3.0,3.4,2.3
D1,23/09/2018,Leverkusen,Mainz,1,0,H,0,0,18,12,5,5,12,13,7,4,2,2,0,0,1.57,4.33,5.5,1.57,4.25,5.5,1.7,3.8,5.0,1.62,4.2,5.0
D1,25/09/2018,Bayern Munich,Augsburg,1,1,D,0,0,16,12,8,4,6,15,8,4,3,2,0,0,1.1,10.0,23.0,1.11,9.5,21.0,1.12,9.0,20.0,1.11,10.0,17.0
D1,25/09/2018,Freiburg,Schalke 04,1,0,H,0,0,15,15,4,3,12,11,3,3,2,4,0,0,3.5,3.2,2.14,3.4,3.3,2.2,2.95,3.3,2.4,3.3,3.2,2.25
D1,25/09/2018,Hannover,Hoffenheim,1,3,A,0,1,17,17,8,9,12,13,8,5,2,2,0,0,3.5,3.6,2.04,3.4,3.75,2.05,3.4,3.5,2.1,3.25,3.75,2.05
D1,25/09/2018,Werder Bremen,Hertha,3,1,H,2,0,14,12,6,2,13,9,2,3,1,3,0,0,2.0,3.5,3.8,2.1,3.5,3.5,2.0,3.4,3.8,2.1,3.5,3.4
D1,26/09/2018,Dortmund,Nurnberg,7,0,H,2,0,19,4,10,1,6,10,4,5,0,2,0,0,1.3,5.5,10.0,1.3,5.25,11.0,1.3,5.8,9.0,1.3,5.5,9.0
D1,26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2,A,0,0,16,6,4,3,6,12,7,5,2,2,0,0,3.75,3.75,1.95,3.9,3.7,1.91,3.7,3.5,2.0,3.7,3.75,1.91
D1,26/09/2018,Mainz,Wolfsburg,0,0,D,0,0,11,12,2,4,13,15,5,11,1,2,0,0,2.6,3.25,2.8,2.6,3.4,2.7,2.65,3.4,2.65,2.55,3.2,2.8
D1,26/09/2018,M'gladbach,Ein Frankfurt,3,1,H,0,0,21,12,9,2,7,11,9,6,0,0,0,0,1.75,3.8,4.75,1.78,3.75,4.5,1.8,3.7,4.4,1.78,3.8,4.2
D1,26/09/2018,RB Leipzig,Stuttgart,2,0,H,1,0,18,9,8,0,11,8,4,2,2,3,0,0,1.72,3.8,4.75,1.72,3.7,5.0,1.75,3.7,4.7,1.73,4.0,4.33
D1,28/09/2018,Hertha,Bayern Munich,2,0,H,2,0,6,25,4,5,14,10,1,14,3,1,0,0,10.0,5.75,1.28,9.75,5.75,1.3,7.5,4.8,1.4,9.5,5.8,1.29
D1,29/09/2018,Hoffenheim,RB Leipzig,1,2,A,0,0,13,18,6,7,4,14,4,8,1,3,0,0,2.04,3.75,3.4,2.1,3.75,3.25,2.1,3.5,3.4,2.1,3.8,3.1
D1,29/09/2018,Leverkusen,Dortmund,2,4,A,2,0,14,16,6,10,11,12,6,8,1,1,0,0,2.8,3.5,2.4,2.8,3.5,2.45,2.75,3.5,2.5,2.8,3.4,2.45
D1,29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0,H,1,0,10,13,6,4,10,9,4,4,0,2,0,0,2.14,3.4,3.4,2.05,3.4,3.7,2.15,3.4,3.4,2.1,3.5,3.4
D1,29/09/2018,Schalke 04,Mainz,1,0,H,1,0,15,15,2,5,22,21,4,5,2,2,0,0,1.64,3.75,5.5,1.65,3.8,5.5,1.75,3.7,4.7,1.65,3.8,5.25
D1,29/09/2018,Stuttgart,Werder Bremen,2,1,H,1,0,18,14,5,3,15,14,6,8,3,4,0,1,2.7,3.25,2.7,2.65,3.4,2.65,2.75,3.3,2.6,2.7,3.3,2.6
D1,29/09/2018,Wolfsburg,M'gladbach,2,2,D,1,1,13,10,3,3,6,14,6,3,2,2,0,0,2.3,3.4,3.1,2.35,3.4,3.0,2.4,3.4,2.9,2.38,3.4,2.9
D1,30/09/2018,Augsburg,Freiburg,4,1,H,2,0,21,13,10,6,12,8,5,3,0,1,0,0,1.9,3.4,4.33,1.95,3.4,4.1,2.0,3.4,3.8,1.95,3.3,4.0
D1,30/09/2018,Ein Frankfurt,Hannover,4,1,H,2,0,15,4,7,1,16,11,3,4,1,2,0,0,1.9,3.6,4.0,2.0,3.5,3.75,2.0,3.4,3.8,2.0,3.5,3.6
D1,05/10/2018,Werder Bremen,Wolfsburg,2,0,H,1,0,15,10,5,4,12,13,7,5,1,2,0,0,1.95,3.5,4.0,2.05,3.4,3.7,2.1,3.4,3.5,2.0,3.5,3.6
D1,06/10/2018,Bayern Munich,M'gladbach,0,3,A,0,2,14,7,3,3,7,4,1,3,2,2,0,0,1.2,7.0,13.0,1.22,7.0,11.5,1.25,6.5,10.0,1.2,7.0,12.0
D1,06/10/2018,Dortmund,Augsburg,4,3,H,0,1,20,12,8,6,5,29,9,6,1,7,0,0,1.44,4.75,7.0,1.48,4.6,6.5,1.45,4.5,7.0,1.47,4.6,6.0
D1,06/10/2018,Fortuna Dusseldorf,Schalke 04,0,2,A,0,0,9,15,3,5,17,15,4,6,3,1,0,0,3.6,3.4,2.1,3.6,3.5,2.05,3.7,3.5,2.0,3.4,3.5,2.1
D1,06/10/2018,Hannover,Stuttgart,3,1,H,2,0,15,11,6,5,16,11,5,7,1,2,0,0,2.5,3.3,2.87,2.45,3.4,2.85,2.5,3.3,2.85,2.4,3.4,2.88
D1,06/10/2018,Mainz,Hertha,0,0,D,0,0,23,11,3,1,12,9,5,6,0,2,0,0,2.7,3.2,2.7,2.8,3.2,2.6,2.65,3.3,2.65,2.7,3.25,2.6
D1,07/10/2018,Freiburg,Leverkusen,0,0,D,0,0,7,14,1,0,11,12,3,4,3,1,0,0,3.4,3.4,2.14,3.4,3.4,2.15,3.3,3.4,2.2,3.2,3.5,2.15
D1,07/10/2018,Hoffenheim,Ein Frankfurt,1,2,A,0,1,20,6,4,4,15,16,6,0,2,4,0,1,1.72,3.8,4.75,1.72,3.9,4.75,1.75,3.7,4.8,1.78,4.0,4.0
D1,07/10/2018,RB Leipzig,Nurnberg,6,0,H,4,0,18,3,8,0,11,12,6,1,0,1,0,1,1.44,4.75,7.0,1.45,4.75,6.5,1.45,4.8,6.5,1.44,4.75,6.5
D1,19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,7,1,H,3,0,21,10,13,5,13,12,5,1,0,2,0,0,1.61,3.8,5.75,1.65,4.0,5.25,1.75,3.7,4.7,1.63,4.0,5.0
D1,20/10/2018,Augsburg,RB Leipzig,0,0,D,0,0,6,15,0,3,20,24,2,2,2,5,0,0,3.0,3.5,2.3,3.1,3.5,2.25,3.1,3.4,2.3,2.88,3.6,2.3
D1,20/10/2018,Leverkusen,Hannover,2,2,D,1,1,19,9,7,7,14,18,9,5,1,5,0,1,1.5,4.33,6.5,1.53,4.4,6.0,1.57,4.2,5.6,1.57,4.2,5.5
D1,20/10/2018,Nurnberg,Hoffenheim,1,3,A,1,0,7,20,2,12,8,9,1,7,4,2,0,0,3.75,3.8,1.9,3.8,3.8,1.91,3.7,3.5,2.0,3.7,4.0,1.85
D1,20/10/2018,Schalke 04,Werder Bremen,0,2,A,0,1,14,8,4,3,13,9,3,1,1,4,0,0,2.04,3.4,3.75,2.05,3.5,3.6,2.1,3.4,3.5,2.1,3.4,3.5
