Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
I1,24/08/13,Sampdoria,Juventus,0,1,A,0,0,4,11,1,4,21,21,4,10,2,3,1,0,8.0,4.0,1.45,7.25,4.0,1.48,5.5,4.0,1.55,7.0,4.0,1.5
I1,24/08/13,Verona,Milan,2,1,H,1,1,14,15,8,5,11,14,6,5,2,3,0,0,4.75,3.6,1.75,4.75,3.75,1.7,4.7,3.6,1.7,4.75,3.6,1.75
I1,25/08/13,Cagliari,Atalanta,2,1,H,1,1,23,11,7,2,19,17,10,3,2,4,0,0,2.5,3.0,3.0,2.45,3.1,3.0,2.3,3.2,3.0,2.5,3.0,3.0
I1,25/08/13,Inter,Genoa,2,0,H,0,0,20,4,5,0,15,9,12,2,2,3,0,0,1.62,3.75,5.5,1.6,3.75,5.75,1.65,3.7,4.9,1.7,3.75,4.8
I1,25/08/13,Lazio,Udinese,2,1,H,2,0,20,7,6,3,15,13,4,4,4,3,0,0,2.0,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,2.0,3.4,3.75
I1,25/08/13,Livorno,Roma,0,2,A,0,0,5,17,3,6,12,18,2,8,1,2,0,0,3.6,3.5,2.0,3.7,3.4,2.0,3.6,3.3,2.0,3.4,3.6,2.05
I1,25/08/13,Napoli,Bologna,3,0,H,2,0,16,8,6,2,10,14,0,5,1,3,0,0,1.36,4.75,8.5,1.33,5.0,9.0,1.4,4.4,7.3,1.4,4.5,8.0
I1,25/08/13,Parma,Chievo,0,0,D,0,0,14,16,4,3,17,17,7,3,2,3,0,0,1.85,3.5,4.2,1.83,3.4,4.5,1.9,3.45,3.8,1.85,3.4,4.4
I1,25/08/13,Torino,Sassuolo,2,0,H,1,0,14,14,5,4,15,13,4,5,3,2,0,0,2.0,3.3,3.8,1.95,3.3,4.0,2.0,3.3,3.6,2.05,3.25,3.8
I1,26/08/13,Fiorentina,Catania,2,1,H,2,1,16,13,6,4,16,20,3,3,2,4,0,0,1.44,4.2,7.5,1.45,4.2,7.25,1.45,4.0,7.0,1.5,4.2,6.5
I1,31/08/13,Chievo,Napoli,2,4,A,2,2,13,18,6,8,10,10,3,4,1,1,0,0,4.75,3.5,1.75,4.75,3.5,1.75,4.5,3.5,1.75,4.5,3.4,1.83
I1,31/08/13,Juventus,Lazio,4,1,H,2,1,12,17,5,11,12,15,4,5,1,0,0,1,1.36,4.5,9.0,1.35,5.0,8.25,1.4,4.4,7.3,1.36,4.75,8.5
I1,01/09/13,Atalanta,Torino,2,0,H,0,0,10,14,3,2,15,16,6,4,3,2,0,0,2.1,3.2,3.6,2.1,3.25,3.6,2.0,3.3,3.6,2.15,3.2,3.6
I1,01/09/13,Bologna,Sampdoria,2,2,D,1,1,10,13,6,5,20,13,4,4,3,3,0,0,2.2,3.25,3.3,2.25,3.2,3.25,2.2,3.2,3.2,2.25,3.2,3.3
I1,01/09/13,Catania,Inter,0,3,A,0,1,13,17,3,7,16,10,4,3,3,1,0,0,2.75,3.2,2.6,2.95,3.25,2.4,3.0,3.2,2.3,2.9,3.25,2.45
I1,01/09/13,Genoa,Fiorentina,2,5,A,0,3,14,16,7,8,13,7,11,2,1,2,1,0,4.0,3.3,1.95,4.0,3.4,1.91,3.3,3.3,2.1,4.0,3.5,1.91
