Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,22/08/14,Bayern Munich,Wolfsburg,2,1,H,1,0,17,9,10,4,5,9,9,3,0,2,0,0,1.25,6.0,10.0,1.26,5.75,10.0,1.28,5.5,8.5,1.2,7.0,12.0
D1,23/08/14,Dortmund,Leverkusen,0,2,A,0,1,11,11,4,2,13,28,8,4,1,2,0,0,1.57,4.33,5.0,1.62,4.0,5.0,1.55,4.3,5.0,1.62,4.2,5.0
D1,23/08/14,Ein Frankfurt,Freiburg,1,0,H,1,0,10,13,3,7,17,22,6,5,1,3,0,0,2.05,3.4,3.6,2.05,3.4,3.5,2.0,3.4,3.5,2.1,3.3,3.5
D1,23/08/14,FC Koln,Hamburg,0,0,D,0,0,10,19,3,4,23,16,3,6,2,2,0,0,2.0,3.5,3.6,2.05,3.5,3.4,2.1,3.3,3.3,2.05,3.6,3.4
D1,23/08/14,Hannover,Schalke 04,2,1,H,0,0,8,12,3,5,12,15,2,4,2,1,0,0,2.9,3.5,2.3,2.85,3.5,2.3,2.85,3.4,2.3,3.2,3.2,2.3
D1,23/08/14,Hertha,Werder Bremen,2,2,D,1,0,19,9,5,5,17,18,9,5,1,2,0,0,1.95,3.5,3.75,1.95,3.6,3.6,2.0,3.3,3.6,1.95,3.5,3.8
D1,23/08/14,Hoffenheim,Augsburg,2,0,H,2,0,10,12,3,2,19,15,7,3,2,3,0,0,1.91,3.6,3.8,1.95,3.5,3.7,2.0,3.4,3.5,1.95,3.5,3.8
D1,24/08/14,M'gladbach,Stuttgart,1,1,D,0,0,19,7,6,3,8,16,6,3,2,1,0,0,1.95,3.5,3.75,1.95,3.5,3.7,1.9,3.45,3.8,1.95,3.5,3.8
D1,24/08/14,Paderborn,Mainz,2,2,D,1,1,10,14,3,4,16,14,4,3,2,2,0,0,3.1,3.4,2.25,2.85,3.4,2.35,2.75,3.3,2.4,3.1,3.1,2.4
D1,29/08/14,Augsburg,Dortmund,2,3,A,0,2,12,22,3,9,9,12,3,6,2,3,0,0,4.5,3.75,1.73,4.75,3.9,1.72,4.3,3.8,1.7,4.6,3.8,1.73
D1,30/08/14,Hamburg,Paderborn,0,3,A,0,1,13,15,4,7,16,16,8,3,0,0,0,0,1.67,3.8,5.0,1.78,3.5,4.5,1.7,3.7,4.5,1.75,3.75,4.5
