Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
SP1,23/08/14,Almeria,Espanol,1,1,D,0,0,19,12,6,2,8,9,11,7,3,2,0,1,2.55,3.3,2.7,2.55,3.25,2.7,2.5,3.3,2.65,2.7,3.1,2.7
SP1,23/08/14,Granada,La Coruna,2,1,H,0,1,10,7,3,1,13,26,5,3,1,2,0,0,1.95,3.2,4.2,2.05,3.3,3.6,2.0,3.3,3.6,2.05,3.1,4.0
SP1,23/08/14,Malaga,Ath Bilbao,1,0,H,1,0,12,12,3,5,13,9,5,4,3,3,2,0,2.8,3.3,2.45,2.75,3.2,2.55,2.6,3.2,2.6,2.8,3.1,2.62
SP1,23/08/14,Sevilla,Valencia,1,1,D,1,0,10,11,3,1,23,8,3,3,4,2,0,1,2.05,3.5,3.5,2.05,3.3,3.6,2.1,3.3,3.3,2.1,3.25,3.6
SP1,24/08/14,Barcelona,Elche,3,0,H,1,0,12,3,6,0,11,13,3,1,0,1,1,0,1.1,9.0,21.0,1.1,8.75,21.0,1.1,8.0,20.0,1.1,10.0,21.0
SP1,24/08/14,Celta,Getafe,3,1,H,1,0,20,12,8,3,19,15,4,4,4,1,0,0,1.91,3.4,4.0,1.91,3.3,4.1,1.95,3.4,3.65,1.95,3.5,3.8
SP1,24/08/14,Eibar,Sociedad,1,0,H,1,0,12,19,5,4,13,14,5,6,4,1,0,0,3.25,3.4,2.2,3.2,3.2,2.25,3.1,3.3,2.2,3.3,3.2,2.25
SP1,24/08/14,Levante,Villarreal,0,2,A,0,0,9,12,2,6,11,14,3,4,1,3,0,0,3.4,3.4,2.1,3.2,3.25,2.2,3.1,3.3,2.2,3.3,3.3,2.2
SP1,25/08/14,Real Madrid,Cordoba,2,0,H,1,0,14,8,8,2,9,13,8,5,1,2,0,0,1.06,11.0,29.0,1.08,10.0,23.0,1.07,9.5,22.0,1.08,11.0,34.0
SP1,25/08/14,Vallecano,Ath Madrid,0,0,D,0,0,8,9,2,2,13,17,2,4,2,2,0,0,7.0,4.0,1.5,5.75,4.0,1.55,6.1,4.0,1.5,6.5,3.8,1.53
SP1,29/08/14,Getafe,Almeria,1,0,H,1,0,12,11,3,4,17,11,2,3,3,2,0,0,2.0,3.4,3.75,2.05,3.3,3.6,2.1,3.3,3.3,2.05,3.25,3.8
SP1,29/08/14,Valencia,Malaga,3,0,H,2,0,14,17,4,4,18,11,4,6,1,2,0,1,1.55,4.2,5.5,1.6,3.5,6.25,1.6,3.7,5.4,1.53,4.0,6.0
SP1,30/08/14,Ath Bilbao,Levante,3,0,H,1,0,10,10,5,2,13,17,2,11,1,4,0,0,1.33,5.0,9.0,1.36,4.4,9.0,1.37,4.6,7.5,1.33,4.8,10.0
SP1,30/08/14,Ath Madrid,Eibar,2,1,H,2,1,15,8,6,2,12,18,5,5,3,0,0,0,1.22,5.75,13.0,1.25,5.5,11.5,1.25,5.5,10.3,1.22,6.0,13.0
SP1,30/08/14,Cordoba,Celta,1,1,D,0,0,6,9,1,4,14,17,1,6,1,4,0,0,3.3,3.3,2.2,3.1,3.2,2.3,2.9,3.3,2.3,3.3,3.2,2.25
SP1,30/08/14,Espanol,Sevilla,1,2,A,0,1,4,13,2,6,20,24,3,7,4,2,0,0,2.5,3.2,2.88,2.55,3.25,2.7,2.5,3.3,2.65,2.5,3.2,2.88
SP1,31/08/14,Elche,Granada,1,1,D,0,0,15,5,3,4,12,17,8,4,4,4,0,0,2.2,3.2,3.4,2.3,3.1,3.2,2.2,3.3,3.1,2.3,3.1,3.3
SP1,31/08/14,La Coruna,Vallecano,2,2,D,1,1,10,12,5,2,16,18,2,4,4,6,0,0,2.25,3.3,3.2,2.35,3.25,3.0,2.2,3.3,3.1,2.3,3.2,3.2
SP1,31/08/14,Sociedad,Real Madrid,4,2,H,2,2,13,19,5,5,18,12,8,6,1,2,0,0,7.5,5.0,1.36,7.5,4.6,1.4,7.0,4.0,1.45,7.0,5.0,1.4
SP1,31/08/14,Villarreal,Barcelona,0,1,A,0,0,9,20,0,8,12,9,3,10,0,2,0,0,5.0,4.2,1.57,5.75,3.75,1.6,5.3,4.1,1.55,5.0,4.2,1.6
SP1,12/09/14,Almeria,Cordoba,1,1,D,1,1,12,11,2,4,14,22,8,2,4,4,0,0,2.05,3.3,3.6,2.05,3.2,3.75,1.9,3.45,3.8,1.91,3.4,4.0
SP1,13/09/14,Barcelona,Ath Bilbao,2,0,H,0,0,15,3,8,2,12,11,5,1,1,1,0,0,1.3,5.5,8.5,1.33,5.0,8.5,1.33,5.0,7.8,1.33,4.5,10.0
SP1,13/09/14,Celta,Sociedad,2,2,D,1,0,13,20,6,5,13,15,5,8,1,5,0,0,2.2,3.3,3.3,2.3,3.3,3.0,2.2,3.3,3.1,2.3,3.2,3.2
SP1,13/09/14,Malaga,Levante,0,0,D,0,0,18,10,7,0,10,15,20,1,1,2,0,0,1.62,3.6,6.0,1.62,3.6,5.75,1.65,3.7,4.9,1.62,3.4,6.5
SP1,13/09/14,Real Madrid,Ath Madrid,1,2,A,1,1,21,9,4,2,12,12,4,4,4,7,0,0,1.67,3.75,5.0,1.72,3.8,4.5,1.65,3.8,4.7,1.7,3.4,5.5
SP1,14/09/14,Granada,Villarreal,0,0,D,0,0,9,14,3,3,12,13,9,5,3,2,0,0,3.5,3.2,2.15,3.4,3.1,2.2,3.6,3.3,2.0,3.5,3.1,2.2
SP1,14/09/14,Sevilla,Getafe,2,0,H,1,0,12,7,4,1,10,25,8,5,2,6,0,0,1.44,4.33,7.0,1.5,4.1,6.25,1.45,4.0,7.0,1.5,4.0,7.0
SP1,14/09/14,Valencia,Espanol,3,1,H,1,0,11,8,6,3,15,13,7,8,1,1,0,0,1.62,3.75,5.5,1.65,3.7,5.25,1.6,3.9,5.0,1.62,3.6,6.0
SP1,14/09/14,Vallecano,Elche,2,3,A,1,1,14,12,4,5,11,23,6,5,2,2,0,0,1.73,3.5,5.0,1.8,3.4,4.5,1.8,3.5,4.2,1.8,3.25,5.0
SP1,15/09/14,Eibar,La Coruna,0,1,A,0,1,14,4,2,1,11,23,4,8,0,5,0,0,2.1,3.2,3.6,2.05,3.3,3.6,2.2,3.3,3.1,2.15,3.0,3.75
SP1,19/09/14,Elche,Eibar,0,2,A,0,2,15,8,6,4,9,10,10,7,2,1,0,0,2.15,3.0,3.8,2.35,3.2,3.3,2.2,3.2,3.2,2.3,2.88,3.6
SP1,20/09/14,Ath Bilbao,Granada,0,1,A,0,1,13,3,5,2,14,20,7,5,2,4,0,0,1.44,4.2,7.5,1.48,4.33,7.5,1.45,4.0,7.0,1.44,4.0,8.0
SP1,20/09/14,Ath Madrid,Celta,2,2,D,2,1,18,5,8,5,9,17,6,3,1,3,0,0,1.44,4.2,7.5,1.53,4.0,7.5,1.5,4.0,6.1,1.5,4.0,7.0
SP1,20/09/14,Espanol,Malaga,2,2,D,1,0,13,9,8,3,14,16,7,2,2,3,0,0,2.0,3.3,3.75,2.25,3.4,3.3,2.1,3.3,3.3,2.2,3.2,3.4
SP1,20/09/14,La Coruna,Real Madrid,2,8,A,0,3,14,19,5,13,8,9,2,3,1,1,0,0,9.5,6.0,1.25,9.75,5.5,1.33,7.2,5.0,1.35,11.0,5.0,1.3
SP1,21/09/14,Cordoba,Sevilla,1,3,A,0,1,9,15,3,8,11,24,7,4,6,2,0,0,3.8,3.3,2.0,3.8,3.5,2.05,3.8,3.45,1.9,4.0,3.2,2.0
SP1,21/09/14,Levante,Barcelona,0,5,A,0,2,9,17,2,8,13,11,3,6,1,2,1,0,15.0,7.5,1.18,14.0,6.75,1.22,12.0,5.5,1.22,15.0,6.0,1.2
SP1,21/09/14,Sociedad,Almeria,1,2,A,0,1,22,13,6,5,19,17,13,7,1,6,0,1,1.44,4.5,6.5,1.5,4.25,7.25,1.5,4.0,6.1,1.44,4.0,8.0
SP1,21/09/14,Villarreal,Vallecano,4,2,H,1,2,19,10,9,3,11,18,11,5,2,2,0,0,1.53,3.8,6.5,1.6,4.0,6.0,1.5,4.0,6.1,1.57,3.8,6.0
SP1,22/09/14,Getafe,Valencia,0,3,A,0,2,12,7,5,3,25,17,6,1,6,1,0,1,3.6,3.3,2.05,3.75,3.4,2.1,3.3,3.3,2.1,3.6,3.3,2.05
SP1,23/09/14,Celta,La Coruna,2,1,H,1,0,11,5,4,3,15,15,13,4,3,3,0,0,1.57,3.75,6.0,1.62,3.75,5.5,1.7,3.6,4.7,1.57,3.8,6.0
SP1,23/09/14,Real Madrid,Elche,5,1,H,3,1,23,10,12,3,15,15,8,2,2,1,0,0,1.08,12.0,23.0,1.08,10.0,21.0,1.07,9.5,22.0,1.08,11.0,34.0
SP1,24/09/14,Almeria,Ath Madrid,0,1,A,0,0,6,19,1,9,14,16,2,10,3,6,0,0,6.0,3.8,1.57,5.75,3.6,1.62,4.7,3.6,1.7,6.0,3.6,1.62
SP1,24/09/14,Eibar,Villarreal,1,1,D,1,0,7,15,3,4,14,17,2,10,4,4,0,0,3.4,3.0,2.3,3.1,3.1,2.35,2.75,3.3,2.4,3.1,3.1,2.4
SP1,24/09/14,Granada,Levante,0,1,A,0,0,8,10,0,4,14,13,5,3,2,6,0,0,1.5,3.9,7.0,1.57,3.9,5.75,1.65,3.7,4.9,1.57,3.8,6.0
SP1,24/09/14,Malaga,Barcelona,0,0,D,0,0,6,10,2,0,15,13,2,8,2,2,0,0,9.0,5.0,1.33,8.25,4.75,1.36,9.0,5.0,1.3,9.0,4.5,1.36
SP1,24/09/14,Sevilla,Sociedad,1,0,H,1,0,19,8,8,1,13,7,11,4,6,2,0,0,1.8,3.6,4.33,1.8,3.5,4.33,1.75,3.5,4.5,1.8,3.75,4.2
SP1,24/09/14,Vallecano,Ath Bilbao,2,1,H,1,1,15,8,5,3,18,17,1,2,2,2,0,0,3.1,3.4,2.25,3.1,3.2,2.3,2.9,3.3,2.3,3.1,3.4,2.25
SP1,25/09/14,Espanol,Getafe,2,0,H,0,0,10,6,4,2,16,17,6,4,1,2,0,0,1.67,3.6,5.5,1.72,3.6,4.75,1.75,3.5,4.5,1.73,3.5,5.0
